team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
vs Atlanta Utd,24,27.3,10,900,90,100,10.0,110,82,69,40,18,48,1.80,19,11,+8,+0.80,14.9,13.5,+1.4,+0.14
vs Austin,19,26.9,10,900,90,100,10.0,110,83,62,48,19,39,1.30,10,7,+3,+0.30,11.2,12.8,-1.6,-0.16
vs CF Montréal,28,27.3,10,900,90,100,10.0,110,82,69,41,12,48,2.40,14,4,+10,+1.00,12.2,10.3,+1.9,+0.19
vs Charlotte,19,27.5,10,900,90,100,10.0,110,83,61,46,21,41,1.00,8,16,-8,-0.80,13.6,15.5,-1.9,-0.19
vs Chicago Fire,24,27.0,10,900,90,100,10.0,110,80,67,43,17,46,1.50,22,18,+4,+0.40,18.5,15.7,+2.9,+0.29
vs Colorado Rapids,27,28.1,10,900,90,100,10.0,110,83,69,42,19,47,1.00,14,14,0,0.00,15.5,15.3,+0.2,+0.02
vs Columbus Crew,22,26.9,10,900,90,100,10.0,110,86,69,41,25,48,0.60,8,14,-6,-0.60,11.6,15.4,-3.8,-0.38
vs D.C. United,23,26.8,10,900,90,100,10.0,110,82,66,44,16,42,1.80,22,11,+11,+1.10,16.2,13.7,+2.5,+0.25
vs FC Cincinnati,23,27.3,10,900,90,100,10.0,110,82,72,38,17,52,0.70,12,15,-3,-0.30,14.1,12.7,+1.4,+0.14
vs FC Dallas,22,26.7,10,900,90,100,10.0,110,82,66,43,19,46,1.20,14,14,0,0.00,12.9,13.7,-0.8,-0.08
vs Houston Dynamo,23,27.5,10,900,90,100,10.0,110,83,71,37,19,52,1.60,14,10,+4,+0.40,13.5,9.2,+4.4,+0.44
vs Inter Miami,25,27.5,9,810,90,100,9.0,99,79,59,40,18,41,0.67,10,16,-6,-0.67,13.1,14.8,-1.7,-0.19
vs LA Galaxy,24,26.9,10,900,90,100,10.0,110,81,68,41,18,47,2.40,20,8,+12,+1.20,19.6,9.7,+9.9,+0.99
vs LAFC,24,27.6,10,900,90,100,10.0,110,82,62,47,23,42,1.40,16,15,+1,+0.10,13.8,15.3,-1.5,-0.15
vs Minnesota Utd,23,27.2,10,900,90,100,10.0,110,83,67,43,23,47,1.00,10,12,-2,-0.20,10.7,16.5,-5.8,-0.58
vs Nashville SC,21,26.7,10,900,90,100,10.0,110,85,64,45,23,44,1.30,13,19,-6,-0.60,12.4,20.0,-7.6,-0.76
vs NE Revolution,21,27.4,9,810,90,100,9.0,99,84,65,35,21,43,1.44,7,7,0,0.00,12.3,7.9,+4.4,+0.49
vs NY Red Bulls,24,27.4,10,900,90,100,10.0,110,83,63,46,23,43,1.20,9,11,-2,-0.20,12.7,13.9,-1.2,-0.12
vs NYCFC,20,27.9,10,900,90,100,10.0,110,81,70,39,22,48,1.40,13,12,+1,+0.10,13.8,13.3,+0.5,+0.05
vs Orlando City,23,27.0,10,900,90,100,10.0,110,84,70,40,18,50,1.00,12,18,-6,-0.60,13.7,16.6,-2.9,-0.29
vs Philadelphia Union,22,27.7,10,900,90,100,10.0,110,84,66,43,21,46,1.00,9,19,-10,-1.00,11.2,17.0,-5.9,-0.59
vs Portland Timbers,22,27.8,10,900,90,100,10.0,110,81,66,44,18,46,0.90,15,20,-5,-0.50,16.6,12.8,+3.8,+0.38
vs Real Salt Lake,24,28.0,10,900,90,100,10.0,110,80,67,44,22,46,1.80,15,11,+4,+0.40,17.6,13.1,+4.4,+0.44
vs San Diego FC,23,27.2,10,900,90,100,10.0,110,79,63,44,23,43,1.40,15,16,-1,-0.10,17.4,16.2,+1.3,+0.13
vs Seattle Sounders,24,27.6,10,900,90,100,10.0,110,81,64,47,23,43,1.30,12,13,-1,-0.10,9.8,15.0,-5.2,-0.52
vs SJ Earthquakes,25,27.5,10,900,90,100,10.0,110,81,73,36,23,54,1.90,19,20,-1,-0.10,19.9,23.0,-3.0,-0.30
vs Sporting KC,22,27.7,10,900,90,100,10.0,110,82,65,44,18,46,2.20,21,16,+5,+0.50,16.5,10.8,+5.7,+0.57
vs St. Louis,21,27.1,10,900,90,100,10.0,110,81,72,40,16,49,1.60,8,7,+1,+0.10,13.8,11.8,+1.9,+0.19
vs Toronto FC,25,26.8,10,900,90,100,10.0,110,81,65,45,18,44,1.90,14,8,+6,+0.60,13.6,7.7,+5.9,+0.59
vs Vancouver W'caps,25,27.1,10,900,90,100,10.0,110,82,64,45,23,43,0.50,7,20,-13,-1.30,9.0,18.5,-9.5,-0.95
