team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Atlanta Utd,24,29.2,10,900,90,100,10.0,110,82,63,47,19,41,0.90,11,19,-8,-0.80,13.5,14.9,-1.4,-0.14
Austin,19,28.2,10,900,90,100,10.0,110,83,63,46,17,43,1.60,7,10,-3,-0.30,12.8,11.2,+1.6,+0.16
CF Montréal,28,24.2,10,900,90,100,10.0,110,82,65,45,20,45,0.30,4,14,-10,-1.00,10.3,12.2,-1.9,-0.19
Charlotte,19,29.1,10,900,90,100,10.0,110,83,67,42,17,48,1.90,16,8,+8,+0.80,15.5,13.6,+1.9,+0.19
Chicago Fire,24,26.0,10,900,90,100,10.0,110,80,65,45,24,44,1.20,18,22,-4,-0.40,15.7,18.5,-2.9,-0.29
Colorado Rapids,27,26.3,10,900,90,100,10.0,110,83,70,40,19,49,1.60,14,14,0,0.00,15.3,15.5,-0.2,-0.02
Columbus Crew,22,26.8,10,900,90,100,10.0,110,86,85,25,16,60,2.10,14,8,+6,+0.60,15.4,11.6,+3.8,+0.38
D.C. United,23,26.5,10,900,90,100,10.0,110,82,65,45,21,45,0.90,11,22,-11,-1.10,13.7,16.2,-2.5,-0.25
FC Cincinnati,23,27.5,10,900,90,100,10.0,110,82,66,44,20,36,2.20,15,12,+3,+0.30,12.7,14.1,-1.4,-0.14
FC Dallas,22,27.6,10,900,90,100,10.0,110,82,69,41,20,49,1.50,14,14,0,0.00,13.7,12.9,+0.8,+0.08
Houston Dynamo,23,27.6,10,900,90,100,10.0,110,83,70,40,19,48,1.00,10,14,-4,-0.40,9.2,13.5,-4.4,-0.44
Inter Miami,25,28.4,9,810,90,100,9.0,99,79,55,41,25,40,2.00,16,10,+6,+0.67,14.8,13.1,+1.7,+0.19
LA Galaxy,24,27.8,10,900,90,100,10.0,110,81,66,43,21,46,0.30,8,20,-12,-1.20,9.7,19.6,-9.9,-0.99
LAFC,24,28.9,10,900,90,100,10.0,110,82,64,46,18,44,1.40,15,16,-1,-0.10,15.3,13.8,+1.5,+0.15
Minnesota Utd,23,27.1,10,900,90,100,10.0,110,83,71,40,18,50,1.60,12,10,+2,+0.20,16.5,10.7,+5.8,+0.58
Nashville SC,21,28.9,10,900,90,100,10.0,110,85,71,39,15,51,1.60,19,13,+6,+0.60,20.0,12.4,+7.6,+0.76
NE Revolution,21,26.9,9,810,90,100,9.0,99,84,68,31,19,50,1.44,7,7,0,0.00,7.9,12.3,-4.4,-0.49
NY Red Bulls,24,26.9,10,900,90,100,10.0,110,83,71,41,19,49,1.50,11,9,+2,+0.20,13.9,12.7,+1.2,+0.12
NYCFC,20,26.0,10,900,90,100,10.0,110,81,68,41,24,47,1.40,12,13,-1,-0.10,13.3,13.8,-0.5,-0.05
Orlando City,23,27.6,10,900,90,100,10.0,110,84,64,45,14,45,1.60,18,12,+6,+0.60,16.6,13.7,+2.9,+0.29
Philadelphia Union,22,25.9,10,900,90,100,10.0,110,84,67,41,16,49,1.90,19,9,+10,+1.00,17.0,11.2,+5.9,+0.59
Portland Timbers,22,26.2,10,900,90,100,10.0,110,81,62,47,20,40,1.80,20,15,+5,+0.50,12.8,16.6,-3.8,-0.38
Real Salt Lake,24,25.8,10,900,90,100,10.0,110,80,63,44,23,45,1.20,11,15,-4,-0.40,13.1,17.6,-4.4,-0.44
San Diego FC,23,27.6,10,900,90,100,10.0,110,79,59,51,22,39,1.40,16,15,+1,+0.10,16.2,17.4,-1.3,-0.13
Seattle Sounders,24,28.4,10,900,90,100,10.0,110,81,70,41,25,48,1.30,13,12,+1,+0.10,15.0,9.8,+5.2,+0.52
SJ Earthquakes,25,28.6,10,900,90,100,10.0,110,81,61,48,20,42,1.00,20,19,+1,+0.10,23.0,19.9,+3.0,+0.30
Sporting KC,22,26.4,10,900,90,100,10.0,110,82,66,44,19,44,0.70,16,21,-5,-0.50,10.8,16.5,-5.7,-0.57
St. Louis,21,28.1,10,900,90,100,10.0,110,81,66,42,23,45,1.00,7,8,-1,-0.10,11.8,13.8,-1.9,-0.19
Toronto FC,25,28.7,10,900,90,100,10.0,110,81,68,42,23,47,0.70,8,14,-6,-0.60,7.7,13.6,-5.9,-0.59
Vancouver W'caps,25,25.9,10,900,90,100,10.0,110,82,66,44,20,45,2.30,20,7,+13,+1.30,18.5,9.0,+9.5,+0.95
