team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
vs Atlanta Utd,24,48.1,10.0,6058,623,2002,2800,1312,209,6055,116,59,50.9,51,44.0,3622,17103,8609,150,117,46,127,93,4109,381
vs Austin,19,55.5,10.0,6511,566,1873,2912,1778,247,6510,138,64,46.4,62,44.9,3917,18708,9491,194,141,56,142,84,4606,512
vs CF Montréal,28,46.2,10.0,5612,685,2038,2371,1247,206,5612,133,60,45.1,69,51.9,2602,12941,6148,120,72,46,142,90,3470,303
vs Charlotte,19,51.3,10.0,6270,600,2067,2758,1505,247,6268,145,75,51.7,65,44.8,3755,18437,9402,183,132,55,145,58,4344,442
vs Chicago Fire,24,51.9,10.0,6460,606,2113,2960,1447,251,6455,140,66,47.1,67,47.9,3779,16360,7914,133,106,42,149,67,4390,349
vs Colorado Rapids,27,55.0,10.0,6546,616,2243,2962,1394,261,6546,138,69,50.0,62,44.9,3495,16776,8708,203,106,59,176,81,4290,399
vs Columbus Crew,22,41.7,10.0,5514,696,2189,2257,1107,184,5514,114,55,48.2,54,47.4,2876,13321,6249,120,84,38,135,76,3519,276
vs D.C. United,23,48.8,10.0,5844,680,2123,2532,1234,189,5842,180,64,35.6,111,61.7,3078,15030,7751,164,103,46,156,66,3547,357
vs FC Cincinnati,23,49.4,10.0,6291,643,2182,2692,1485,219,6289,153,65,42.5,83,54.2,3490,16408,7819,159,108,48,158,81,4007,372
vs FC Dallas,22,53.3,10.0,6231,528,1838,2653,1790,233,6229,168,89,53.0,73,43.5,3386,16238,8167,162,123,52,144,102,4116,469
vs Houston Dynamo,23,47.5,10.0,5898,534,1709,2885,1358,195,5897,147,61,41.5,78,53.1,3503,16754,8026,141,117,34,156,75,4017,394
vs Inter Miami,25,47.2,9.0,5383,507,1556,2468,1416,202,5383,161,59,36.6,96,59.6,2921,13765,6816,111,107,32,138,80,3620,395
vs LA Galaxy,24,48.1,10.0,6092,567,1885,2760,1492,235,6088,145,70,48.3,70,48.3,3635,15994,7935,153,113,40,151,59,4240,426
vs LAFC,24,46.8,10.0,6327,623,1905,2855,1638,215,6326,169,69,40.8,91,53.8,3381,16779,8603,173,128,35,173,74,4197,368
vs Minnesota Utd,23,62.1,10.0,7223,614,1887,3602,1784,212,7222,193,82,42.5,101,52.3,4044,20510,11020,210,140,46,194,84,4806,513
vs Nashville SC,21,49.3,10.0,6204,712,2280,2693,1283,169,6201,162,87,53.7,69,42.6,3523,16950,8342,153,125,43,164,89,4075,330
vs NE Revolution,21,53.9,9.0,5935,545,1812,2622,1571,266,5935,150,77,51.3,66,44.0,3402,17201,8482,159,109,52,133,93,4002,380
vs NY Red Bulls,24,48.0,10.0,5926,628,2177,2579,1239,218,5925,195,87,44.6,96,49.2,3251,14651,6637,142,98,47,144,87,3754,369
vs NYCFC,20,47.8,10.0,6188,632,1955,2750,1543,268,6188,209,96,45.9,100,47.8,3394,17030,8812,176,104,52,152,70,3843,405
vs Orlando City,23,53.1,10.0,6262,536,1646,2872,1795,192,6261,136,65,47.8,66,48.5,3425,17241,8088,146,145,26,144,91,4242,451
vs Philadelphia Union,22,51.2,10.0,6075,704,2312,2704,1110,171,6074,172,77,44.8,85,49.4,3316,15620,6872,106,68,33,149,99,3591,321
vs Portland Timbers,22,53.2,10.0,6780,544,2019,3054,1766,272,6775,142,71,50.0,66,46.5,3760,18065,8982,192,112,65,128,75,4758,454
vs Real Salt Lake,24,46.7,10.0,5762,567,1901,2558,1369,239,5759,144,65,45.1,61,42.4,2930,15003,7044,136,117,40,165,81,3691,391
vs San Diego FC,23,41.8,10.0,5625,742,2299,2378,1005,162,5622,136,57,41.9,72,52.9,3377,16033,7662,124,96,31,133,80,3751,253
vs Seattle Sounders,24,45.8,10.0,5855,748,2108,2635,1155,180,5855,152,62,40.8,83,54.6,3321,14816,6806,141,99,42,154,81,3781,339
vs SJ Earthquakes,25,51.0,10.0,6230,728,2064,2629,1584,257,6229,179,73,40.8,97,54.2,3172,14751,7366,161,104,60,137,73,3783,392
vs Sporting KC,22,47.7,10.0,5959,677,2179,2666,1169,202,5957,158,69,43.7,82,51.9,2969,14967,7307,142,84,45,144,106,3792,329
vs St. Louis,21,57.7,10.0,6972,586,1764,3271,1988,291,6971,131,51,38.9,71,54.2,3809,18190,8702,177,129,55,172,66,4827,454
vs Toronto FC,25,55.2,10.0,6529,504,1861,3029,1698,218,6526,182,76,41.8,101,55.5,3737,18498,9636,150,150,51,189,98,4413,439
vs Vancouver W'caps,25,44.8,10.0,5522,735,2207,2283,1091,180,5522,138,54,39.1,78,56.5,2969,13463,6345,115,91,33,130,95,3462,292
