team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Atlanta Utd,24,51.9,10.0,6348,572,2009,2876,1505,258,6347,154,80,51.9,66,42.9,3759,17888,8390,170,117,60,129,56,4399,447
Austin,19,44.5,10.0,5466,695,1990,2351,1177,195,5465,141,66,46.8,68,48.2,3170,14540,7043,136,82,44,138,56,3532,317
CF Montréal,28,53.8,10.0,6278,677,2195,2720,1409,194,6278,136,70,51.5,58,42.6,3530,16903,8326,162,121,47,144,87,4160,428
Charlotte,19,48.7,10.0,5928,714,2107,2555,1320,203,5926,181,74,40.9,98,54.1,3563,16217,8638,172,108,57,138,78,4023,392
Chicago Fire,24,48.1,10.0,6085,787,2448,2498,1191,189,6083,156,58,37.2,93,59.6,3350,14574,7307,141,93,45,140,103,4068,335
Colorado Rapids,27,45.0,10.0,5494,567,1631,2445,1472,241,5491,124,61,49.2,58,46.8,2788,13676,6534,128,102,39,152,103,3245,369
Columbus Crew,22,58.3,10.0,7235,580,2059,3281,1952,266,7235,175,75,42.9,94,53.7,4493,20286,9823,182,125,56,139,87,5277,475
D.C. United,23,51.2,10.0,5867,553,1835,2538,1547,238,5865,127,56,44.1,68,53.5,2994,13163,6104,112,93,40,134,97,3598,352
FC Cincinnati,23,50.6,10.0,6495,659,2196,2928,1436,210,6493,179,83,46.4,88,49.2,3530,17847,8824,182,133,46,173,103,4209,376
FC Dallas,22,46.7,10.0,5702,666,1998,2504,1253,226,5700,167,76,45.5,83,49.7,2539,11969,6089,140,75,44,168,78,3505,357
Houston Dynamo,23,52.5,10.0,6474,586,2129,2897,1504,206,6474,128,67,52.3,52,40.6,3645,17470,8425,159,116,41,141,76,4556,411
Inter Miami,25,52.8,9.0,5891,602,2042,2645,1259,181,5891,156,69,44.2,82,52.6,3595,15696,8028,121,89,30,139,74,4132,377
LA Galaxy,24,51.9,10.0,6555,617,1947,3100,1552,195,6555,148,61,41.2,78,52.7,3629,18833,8953,149,130,52,152,62,4708,388
LAFC,24,53.2,10.0,6931,638,2070,3272,1637,244,6929,210,96,45.7,104,49.5,4064,18835,9348,181,122,64,182,83,4771,466
Minnesota Utd,23,37.9,10.0,4907,579,1802,1881,1277,271,4906,161,73,45.3,76,47.2,2142,10591,5391,112,88,45,147,93,2522,287
Nashville SC,21,50.7,10.0,6436,722,2403,2744,1344,232,6429,158,69,43.7,83,52.5,3438,15749,7995,145,103,39,165,90,4267,354
NE Revolution,21,46.1,9.0,5268,609,1864,2306,1158,184,5266,156,74,47.4,66,42.3,2911,15639,7058,139,99,37,117,61,3293,285
NY Red Bulls,24,52.0,10.0,6366,567,1816,3059,1549,189,6363,136,65,47.8,65,47.8,3504,17445,8867,140,131,30,141,103,4217,394
NYCFC,20,52.2,10.0,6547,746,2214,2840,1543,233,6544,151,49,32.5,99,65.6,3631,17293,8992,152,103,47,158,85,4212,410
Orlando City,23,46.9,10.0,5765,572,1964,2573,1292,218,5763,181,84,46.4,92,50.8,3042,14589,7488,138,105,51,141,70,3738,392
Philadelphia Union,22,48.8,10.0,5801,484,1620,2730,1517,232,5800,136,65,47.8,66,48.5,2965,14829,6384,120,102,28,171,89,3271,357
Portland Timbers,22,46.8,10.0,6136,703,2193,2816,1189,175,6134,182,80,44.0,97,53.3,3578,17030,8617,173,133,48,165,66,4071,321
Real Salt Lake,24,53.3,10.0,6357,636,2105,2964,1350,169,6356,144,69,47.9,67,46.5,3702,18391,9493,158,133,27,170,85,4310,357
San Diego FC,23,58.2,10.0,7275,631,2165,3409,1771,251,7274,141,67,47.5,64,45.4,4279,18498,9527,187,116,43,144,71,5426,469
Seattle Sounders,24,54.2,10.0,6758,565,1850,3167,1792,263,6758,159,73,45.9,77,48.4,3719,17712,8570,162,126,53,141,77,4663,447
SJ Earthquakes,25,49.0,10.0,5922,576,1903,2584,1494,253,5919,152,69,45.4,77,50.7,3114,16662,8538,177,129,42,165,96,3540,410
Sporting KC,22,52.3,10.0,6353,478,1554,2931,1915,239,6350,136,57,41.9,74,54.4,3570,18184,9173,198,135,61,160,77,4187,477
St. Louis,21,42.3,10.0,5284,723,2240,2069,1022,185,5284,133,49,36.8,72,54.1,2729,13394,6233,124,90,32,137,88,3165,302
Toronto FC,25,44.8,10.0,5543,643,2051,2421,1139,138,5542,156,70,44.9,78,50.0,2934,15279,6753,150,101,41,168,76,3414,299
Vancouver W'caps,25,55.2,10.0,6617,529,1794,3086,1787,312,6616,162,69,42.6,83,51.2,3932,18421,8830,186,128,61,165,84,4564,504
