team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
vs Atlanta Utd,24,10.0,19,109,48,44.0,10.90,4.80,0.15,0.33,17.8,6,3,3,14.9,12.5,0.12,+4.1,+3.5
vs Austin,19,10.0,10,129,41,31.8,12.90,4.10,0.08,0.24,17.0,2,0,1,11.2,10.4,0.08,-1.2,-0.4
vs CF Montréal,28,10.0,14,119,53,44.5,11.90,5.30,0.12,0.26,16.5,7,0,0,12.2,12.2,0.10,+1.8,+1.8
vs Charlotte,19,10.0,8,146,44,30.1,14.60,4.40,0.04,0.14,19.2,6,2,2,13.6,12.1,0.09,-5.6,-6.1
vs Chicago Fire,24,10.0,21,123,51,41.5,12.30,5.10,0.15,0.35,15.6,4,3,5,18.5,14.8,0.12,+2.5,+3.2
vs Colorado Rapids,27,10.0,13,145,51,35.2,14.50,5.10,0.09,0.25,16.1,4,0,0,15.5,15.5,0.11,-2.5,-2.5
vs Columbus Crew,22,10.0,8,87,32,36.8,8.70,3.20,0.09,0.25,15.5,3,0,0,11.6,11.6,0.14,-3.6,-3.6
vs D.C. United,23,10.0,22,120,50,41.7,12.00,5.00,0.17,0.40,16.8,2,2,2,16.2,14.6,0.13,+5.8,+5.4
vs FC Cincinnati,23,10.0,11,132,36,27.3,13.20,3.60,0.08,0.28,17.5,3,1,2,14.1,12.4,0.10,-3.1,-2.4
vs FC Dallas,22,10.0,14,122,39,32.0,12.20,3.90,0.10,0.31,17.7,9,2,2,12.9,11.3,0.10,+1.1,+0.7
vs Houston Dynamo,23,10.0,14,101,39,38.6,10.10,3.90,0.13,0.33,17.9,5,1,1,13.5,12.8,0.13,+0.5,+0.2
vs Inter Miami,25,9.0,10,112,39,34.8,12.44,4.33,0.09,0.26,16.7,4,0,0,13.1,13.1,0.12,-3.1,-3.1
vs LA Galaxy,24,10.0,20,123,44,35.8,12.30,4.40,0.14,0.39,15.9,4,3,4,19.6,16.5,0.14,+0.4,+0.5
vs LAFC,24,10.0,15,120,36,30.0,12.00,3.60,0.12,0.39,18.0,7,1,1,13.8,13.0,0.11,+1.2,+1.0
vs Minnesota Utd,23,10.0,9,119,36,30.3,11.90,3.60,0.08,0.25,18.1,7,0,1,10.7,9.9,0.08,-1.7,-0.9
vs Nashville SC,21,10.0,13,105,41,39.0,10.50,4.10,0.10,0.27,18.3,4,2,3,12.4,9.9,0.10,+0.6,+1.1
vs NE Revolution,21,9.0,7,134,36,26.9,14.89,4.00,0.05,0.19,16.7,3,0,0,12.3,12.3,0.09,-5.3,-5.3
vs NY Red Bulls,24,10.0,9,112,43,38.4,11.20,4.30,0.07,0.19,16.1,3,1,1,12.7,12.0,0.11,-3.7,-4.0
vs NYCFC,20,10.0,11,139,45,32.4,13.90,4.50,0.08,0.24,16.9,2,0,0,13.8,13.8,0.10,-2.8,-2.8
vs Orlando City,23,10.0,12,126,42,33.3,12.60,4.20,0.09,0.26,19.2,2,1,1,13.7,13.0,0.10,-1.7,-2.0
vs Philadelphia Union,22,10.0,9,98,30,30.6,9.80,3.00,0.08,0.27,16.9,2,1,1,11.2,10.4,0.12,-2.2,-2.4
vs Portland Timbers,22,10.0,15,140,48,34.3,14.00,4.80,0.09,0.27,18.4,8,2,5,16.6,12.6,0.09,-1.6,+0.4
vs Real Salt Lake,24,10.0,15,128,42,32.8,12.80,4.20,0.10,0.31,16.1,0,2,3,17.6,15.2,0.12,-2.6,-2.2
vs San Diego FC,23,10.0,15,108,46,42.6,10.80,4.60,0.11,0.26,18.4,5,3,3,17.4,15.3,0.15,-2.4,-3.3
vs Seattle Sounders,24,10.0,10,103,30,29.1,10.30,3.00,0.10,0.33,17.3,5,0,0,9.8,9.8,0.10,+0.2,+0.2
vs SJ Earthquakes,25,10.0,19,145,56,38.6,14.50,5.60,0.12,0.32,16.5,1,1,1,19.9,19.2,0.14,-0.9,-1.2
vs Sporting KC,22,10.0,20,121,47,38.8,12.10,4.70,0.15,0.38,16.5,0,2,2,16.5,14.9,0.13,+3.5,+3.1
vs St. Louis,21,10.0,8,143,43,30.1,14.30,4.30,0.06,0.19,17.5,4,0,1,13.8,13.0,0.10,-5.8,-5.0
vs Toronto FC,25,10.0,14,123,43,35.0,12.30,4.30,0.09,0.26,19.7,8,3,3,13.6,11.2,0.09,+0.4,-0.2
vs Vancouver W'caps,25,10.0,7,83,23,27.7,8.30,2.30,0.08,0.30,17.3,2,0,0,9.0,9.0,0.11,-2.0,-2.0
