team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Atlanta Utd,24,10.0,9,129,39,30.2,12.90,3.90,0.06,0.21,16.4,2,1,1,13.5,12.7,0.10,-4.5,-4.7
Austin,19,10.0,7,119,32,26.9,11.90,3.20,0.06,0.22,18.3,2,0,1,12.8,12.0,0.10,-5.8,-5.0
CF Montréal,28,10.0,4,104,33,31.7,10.40,3.30,0.04,0.12,17.1,3,0,0,10.3,10.3,0.10,-6.3,-6.3
Charlotte,19,10.0,15,110,41,37.3,11.00,4.10,0.12,0.32,15.8,4,2,2,15.5,13.9,0.13,-0.5,-0.9
Chicago Fire,24,10.0,18,116,48,41.4,11.60,4.80,0.14,0.33,17.4,2,2,2,15.7,14.1,0.13,+2.3,+1.9
Colorado Rapids,27,10.0,14,114,29,25.4,11.40,2.90,0.10,0.38,17.0,7,3,3,15.3,12.9,0.12,-1.3,-1.9
Columbus Crew,22,10.0,13,128,42,32.8,12.80,4.20,0.10,0.31,17.0,6,0,0,15.4,15.4,0.12,-2.4,-2.4
D.C. United,23,10.0,11,122,47,38.5,12.20,4.70,0.08,0.21,15.8,4,1,2,13.7,12.3,0.10,-2.7,-2.3
FC Cincinnati,23,10.0,15,132,52,39.4,13.20,5.20,0.10,0.25,20.1,9,2,2,12.7,11.2,0.09,+2.3,+1.8
FC Dallas,22,10.0,14,99,34,34.3,9.90,3.40,0.14,0.41,16.4,2,0,2,13.7,12.2,0.13,+0.3,+1.8
Houston Dynamo,23,10.0,10,100,29,29.0,10.00,2.90,0.10,0.34,17.2,4,0,0,9.2,9.2,0.09,+0.8,+0.8
Inter Miami,25,9.0,16,99,42,42.4,11.00,4.67,0.16,0.38,16.6,8,0,0,14.8,14.8,0.15,+1.2,+1.2
LA Galaxy,24,10.0,8,112,34,30.4,11.20,3.40,0.07,0.24,18.0,5,0,0,9.7,9.7,0.09,-1.7,-1.7
LAFC,24,10.0,15,125,46,36.8,12.50,4.60,0.11,0.30,17.3,4,1,2,15.3,13.7,0.12,-0.3,+0.3
Minnesota Utd,23,10.0,12,133,49,36.8,13.30,4.90,0.08,0.22,15.5,3,1,1,16.5,15.8,0.12,-4.5,-4.8
Nashville SC,21,10.0,19,147,62,42.2,14.70,6.20,0.10,0.24,16.9,2,4,7,20.0,14.4,0.10,-1.0,+0.6
NE Revolution,21,9.0,6,88,27,30.7,9.78,3.00,0.05,0.15,19.3,5,2,2,7.9,6.4,0.07,-1.9,-2.4
NY Red Bulls,24,10.0,11,107,38,35.5,10.70,3.80,0.07,0.21,18.2,3,3,3,13.9,11.6,0.11,-2.9,-3.6
NYCFC,20,10.0,12,117,36,30.8,11.70,3.60,0.09,0.28,18.2,2,2,3,13.3,10.9,0.10,-1.3,-0.9
Orlando City,23,10.0,18,139,47,33.8,13.90,4.70,0.12,0.34,16.7,3,2,2,16.6,15.0,0.11,+1.4,+1.0
Philadelphia Union,22,10.0,19,149,54,36.2,14.90,5.40,0.13,0.35,17.8,4,0,1,17.0,16.1,0.11,+2.0,+2.9
Portland Timbers,22,10.0,18,103,46,44.7,10.30,4.60,0.16,0.35,17.4,4,2,2,12.8,11.2,0.11,+5.2,+4.8
Real Salt Lake,24,10.0,10,133,44,33.1,13.30,4.40,0.07,0.20,19.8,7,1,1,13.1,12.5,0.10,-3.1,-3.5
San Diego FC,23,10.0,16,132,45,34.1,13.20,4.50,0.11,0.33,17.0,6,1,1,16.2,15.4,0.12,-0.2,-0.4
Seattle Sounders,24,10.0,13,148,50,33.8,14.80,5.00,0.09,0.26,17.5,6,0,0,15.0,15.0,0.10,-2.0,-2.0
SJ Earthquakes,25,10.0,20,171,57,33.3,17.10,5.70,0.10,0.30,17.3,5,3,3,23.0,20.6,0.13,-3.0,-3.6
Sporting KC,22,10.0,15,97,36,37.1,9.70,3.60,0.13,0.36,17.4,4,2,3,10.8,8.5,0.09,+4.2,+4.5
St. Louis,21,10.0,6,110,34,30.9,11.00,3.40,0.05,0.18,16.2,2,0,0,11.8,11.8,0.11,-5.8,-5.8
Toronto FC,25,10.0,8,78,26,33.3,7.80,2.60,0.09,0.27,18.4,1,1,1,7.7,6.9,0.09,+0.3,+0.1
Vancouver W'caps,25,10.0,20,154,55,35.7,15.40,5.50,0.13,0.36,15.5,3,0,1,18.5,17.7,0.12,+1.5,+2.3
