team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
vs Atlanta Utd,24,27.3,48.1,10,110,900,10.0,19,9,28,16,3,3,17,1,14.9,12.5,9.5,22.0,150,386,1.90,0.90,2.80,1.60,2.50,1.49,0.95,2.44,1.25,2.20
vs Austin,19,26.9,55.5,10,110,900,10.0,10,6,16,10,0,1,29,0,11.2,10.4,7.2,17.6,194,516,1.00,0.60,1.60,1.00,1.60,1.12,0.72,1.84,1.04,1.76
vs CF Montréal,28,27.3,46.2,10,110,900,10.0,14,11,25,14,0,0,19,1,12.2,12.2,8.9,21.1,120,308,1.40,1.10,2.50,1.40,2.50,1.22,0.89,2.11,1.22,2.11
vs Charlotte,19,27.5,51.3,10,110,900,10.0,8,6,14,6,2,2,24,3,13.6,12.1,9.6,21.7,183,442,0.80,0.60,1.40,0.60,1.20,1.36,0.96,2.32,1.21,2.17
vs Chicago Fire,24,27.0,51.9,10,110,900,10.0,21,16,37,18,3,5,11,0,18.5,14.8,12.1,26.9,133,350,2.10,1.60,3.70,1.80,3.40,1.85,1.21,3.06,1.48,2.69
vs Colorado Rapids,27,28.1,55.0,10,110,900,10.0,13,12,25,13,0,0,12,0,15.5,15.5,13.2,28.7,203,399,1.30,1.20,2.50,1.30,2.50,1.55,1.32,2.87,1.55,2.87
vs Columbus Crew,22,26.9,41.7,10,110,900,10.0,8,7,15,8,0,0,23,0,11.6,11.6,9.5,21.1,120,277,0.80,0.70,1.50,0.80,1.50,1.16,0.95,2.11,1.16,2.11
vs D.C. United,23,26.8,48.8,10,110,900,10.0,22,17,39,20,2,2,23,0,16.2,14.6,11.4,26.0,164,359,2.20,1.70,3.90,2.00,3.70,1.62,1.14,2.76,1.46,2.60
vs FC Cincinnati,23,27.3,49.4,10,110,900,10.0,11,8,19,10,1,2,13,0,14.1,12.4,10.3,22.7,159,377,1.10,0.80,1.90,1.00,1.80,1.41,1.03,2.44,1.24,2.27
vs FC Dallas,22,26.7,53.3,10,110,900,10.0,14,8,22,12,2,2,19,1,12.9,11.3,8.3,19.6,162,470,1.40,0.80,2.20,1.20,2.00,1.29,0.83,2.12,1.13,1.96
