team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Atlanta Utd,24,29.2,51.9,10,110,900,10.0,9,6,15,8,1,1,19,0,13.5,12.7,10.4,23.1,170,449,0.90,0.60,1.50,0.80,1.40,1.35,1.04,2.39,1.27,2.31
Austin,19,28.2,44.5,10,110,900,10.0,7,5,12,7,0,1,27,1,12.8,12.0,8.6,20.6,136,319,0.70,0.50,1.20,0.70,1.20,1.28,0.86,2.14,1.20,2.06
CF Montréal,28,24.2,53.8,10,110,900,10.0,4,3,7,4,0,0,25,0,10.3,10.3,7.7,18.0,162,429,0.40,0.30,0.70,0.40,0.70,1.03,0.77,1.80,1.03,1.80
Charlotte,19,29.1,48.7,10,110,900,10.0,15,8,23,13,2,2,17,1,15.5,13.9,11.5,25.5,172,393,1.50,0.80,2.30,1.30,2.10,1.55,1.15,2.70,1.39,2.55
Chicago Fire,24,26.0,48.1,10,110,900,10.0,18,12,30,16,2,2,21,0,15.7,14.1,10.8,24.8,141,339,1.80,1.20,3.00,1.60,2.80,1.57,1.08,2.64,1.41,2.48
Colorado Rapids,27,26.3,45.0,10,110,900,10.0,14,8,22,11,3,3,15,0,15.3,12.9,10.5,23.5,128,373,1.40,0.80,2.20,1.10,1.90,1.53,1.05,2.58,1.29,2.35
Columbus Crew,22,26.8,58.3,10,110,900,10.0,13,12,25,13,0,0,14,1,15.4,15.4,12.5,27.9,182,481,1.30,1.20,2.50,1.30,2.50,1.54,1.25,2.79,1.54,2.79
D.C. United,23,26.5,51.2,10,110,900,10.0,11,9,20,10,1,2,29,0,13.7,12.3,9.9,22.1,112,357,1.10,0.90,2.00,1.00,1.90,1.37,0.99,2.36,1.23,2.21
FC Cincinnati,23,27.5,50.6,10,110,900,10.0,15,8,23,13,2,2,19,1,12.7,11.2,8.5,19.7,182,382,1.50,0.80,2.30,1.30,2.10,1.27,0.85,2.12,1.12,1.97
FC Dallas,22,27.6,46.7,10,110,900,10.0,14,8,22,14,0,2,21,0,13.7,12.2,9.8,22.1,140,361,1.40,0.80,2.20,1.40,2.20,1.37,0.98,2.35,1.22,2.21
Houston Dynamo,23,27.6,52.5,10,110,900,10.0,10,9,19,10,0,0,25,0,9.2,9.2,7.6,16.8,159,415,1.00,0.90,1.90,1.00,1.90,0.92,0.76,1.68,0.92,1.68
Inter Miami,25,28.4,52.8,9,99,810,9.0,16,14,30,16,0,0,24,3,14.8,14.8,12.5,27.3,121,379,1.78,1.56,3.33,1.78,3.33,1.65,1.39,3.04,1.65,3.04
LA Galaxy,24,27.8,51.9,10,110,900,10.0,8,7,15,8,0,0,20,1,9.7,9.7,8.3,18.1,149,393,0.80,0.70,1.50,0.80,1.50,0.97,0.83,1.81,0.97,1.81
LAFC,24,28.9,53.2,10,110,900,10.0,15,6,21,14,1,2,17,1,15.3,13.7,10.3,24.0,181,469,1.50,0.60,2.10,1.40,2.00,1.53,1.03,2.55,1.37,2.40
Minnesota Utd,23,27.1,37.9,10,110,900,10.0,12,10,22,11,1,1,17,0,16.5,15.8,12.6,28.4,112,289,1.20,1.00,2.20,1.10,2.10,1.65,1.26,2.92,1.58,2.84
Nashville SC,21,28.9,50.7,10,110,900,10.0,19,13,32,15,4,7,12,0,20.0,14.4,11.7,26.1,145,359,1.90,1.30,3.20,1.50,2.80,2.00,1.17,3.17,1.44,2.61
NE Revolution,21,26.9,46.1,9,99,810,9.0,6,3,9,4,2,2,18,0,7.9,6.4,5.2,11.6,139,289,0.67,0.33,1.00,0.44,0.78,0.88,0.57,1.46,0.71,1.28
NY Red Bulls,24,26.9,52.0,10,110,900,10.0,11,7,18,8,3,3,23,1,13.9,11.6,9.1,20.7,140,398,1.10,0.70,1.80,0.80,1.50,1.39,0.91,2.31,1.16,2.07
NYCFC,20,26.0,52.2,10,110,900,10.0,12,5,17,10,2,3,14,1,13.3,10.9,7.2,18.1,152,417,1.20,0.50,1.70,1.00,1.50,1.33,0.72,2.05,1.09,1.81
Orlando City,23,27.6,46.9,10,110,900,10.0,18,13,31,16,2,2,22,2,16.6,15.0,12.6,27.6,138,393,1.80,1.30,3.10,1.60,2.90,1.66,1.26,2.92,1.50,2.76
Philadelphia Union,22,25.9,48.8,10,110,900,10.0,19,17,36,19,0,1,25,2,17.0,16.1,13.2,29.2,120,363,1.90,1.70,3.60,1.90,3.60,1.70,1.32,3.02,1.61,2.92
Portland Timbers,22,26.2,46.8,10,110,900,10.0,18,14,32,16,2,2,26,1,12.8,11.2,8.9,20.1,173,326,1.80,1.40,3.20,1.60,3.00,1.28,0.89,2.17,1.12,2.01
Real Salt Lake,24,25.8,53.3,10,110,900,10.0,10,5,15,9,1,1,27,3,13.1,12.5,8.5,21.0,158,360,1.00,0.50,1.50,0.90,1.40,1.31,0.85,2.16,1.25,2.10
San Diego FC,23,27.6,58.2,10,110,900,10.0,16,13,29,15,1,1,24,1,16.2,15.4,11.9,27.3,187,472,1.60,1.30,2.90,1.50,2.80,1.62,1.19,2.81,1.54,2.73
Seattle Sounders,24,28.4,54.2,10,110,900,10.0,13,12,25,13,0,0,16,0,15.0,15.0,11.6,26.6,162,451,1.30,1.20,2.50,1.30,2.50,1.50,1.16,2.66,1.50,2.66
SJ Earthquakes,25,28.6,49.0,10,110,900,10.0,20,14,34,17,3,3,16,1,23.0,20.6,16.4,37.0,177,412,2.00,1.40,3.40,1.70,3.10,2.30,1.64,3.94,2.06,3.70
Sporting KC,22,26.4,52.3,10,110,900,10.0,15,11,26,13,2,3,22,0,10.8,8.5,7.0,15.4,198,482,1.50,1.10,2.60,1.30,2.40,1.08,0.70,1.78,0.85,1.54
St. Louis,21,28.1,42.3,10,110,900,10.0,6,5,11,6,0,0,24,2,11.8,11.8,8.4,20.2,124,305,0.60,0.50,1.10,0.60,1.10,1.18,0.84,2.02,1.18,2.02
Toronto FC,25,28.7,44.8,10,110,900,10.0,8,4,12,7,1,1,18,0,7.7,6.9,5.2,12.1,150,304,0.80,0.40,1.20,0.70,1.10,0.77,0.52,1.29,0.69,1.21
Vancouver W'caps,25,25.9,55.2,10,110,900,10.0,20,15,35,20,0,1,22,0,18.5,17.7,13.4,31.1,186,507,2.00,1.50,3.50,2.00,3.50,1.85,1.34,3.19,1.77,3.11
