ranker,team,players_contracted,weekly_wages,annual_wages,percent_estimated
1, Inter Miami,29,$508641 (€ 446103 £ 379337),$26449323 (€ 23197352 £ 19725523),29%
2, LA Galaxy,28,$281216 (€ 246640 £ 209727),$14623242 (€ 12825302 £ 10905801),24%
3, Nashville SC,29,$274988 (€ 241178 £ 205082),$14299365 (€ 12541245 £ 10664260),22%
4, St. Louis,31,$236691 (€ 207589 £ 176521),$12307924 (€ 10794652 £ 9179073),20%
5, NY Red Bulls,32,$229343 (€ 201145 £ 171041),$11925851 (€ 10459557 £ 8894128),27%
6, LAFC,28,$224913 (€ 197260 £ 167737),$11695498 (€ 10257527 £ 8722333),37%
7, Colorado Rapids,28,$218955 (€ 192034 £ 163293),$11385635 (€ 9985760 £ 8491242),21%
8, Seattle Sounders,28,$218587 (€ 191712 £ 163019),$11366527 (€ 9969003 £ 8476993),16%
9, Orlando City,28,$204880 (€ 179690 £ 152797),$10653762 (€ 9343872 £ 7945422),8%
10, Charlotte,33,$201988 (€ 177154 £ 150640),$10503387 (€ 9211986 £ 7833275),18%
11, Atlanta Utd,28,$196429 (€ 172278 £ 146494),$10214311 (€ 8958452 £ 7617685),20%
12, FC Cincinnati,25,$187841 (€ 164746 £ 140089),$9767757 (€ 8566801 £ 7284652),18%
13, NYCFC,28,$185425 (€ 162627 £ 138288),$9642122 (€ 8456614 £ 7190957),7%
14, Portland Timbers,24,$178210 (€ 156299 £ 132907),$9266932 (€ 8127555 £ 6911144),16%
15, Chicago Fire,31,$177739 (€ 155886 £ 132555),$9242434 (€ 8106068 £ 6892875),28%
16, Columbus Crew,24,$173364 (€ 152049 £ 129292),$9014927 (€ 7906532 £ 6723204),19%
17, NE Revolution,28,$167524 (€ 146927 £ 124937),$8711268 (€ 7640209 £ 6496737),59%
18, Houston Dynamo,30,$162798 (€ 142782 £ 121413),$8465510 (€ 7424667 £ 6313453),45%
19, Real Salt Lake,38,$158490 (€ 139003 £ 118199),$8241468 (€ 7228171 £ 6146366),31%
20, Philadelphia Union,30,$157335 (€ 137991 £ 117338),$8181433 (€ 7175517 £ 6101597),9%
21, Sporting KC,25,$156031 (€ 136847 £ 116366),$8113635 (€ 7116056 £ 6051032),33%
22, D.C. United,27,$155084 (€ 136016 £ 115660),$8064379 (€ 7072856 £ 6014297),47%
23, Minnesota Utd,24,$150337 (€ 131853 £ 112119),$7817521 (€ 6856349 £ 5830194),17%
24, SJ Earthquakes,33,$137587 (€ 120670 £ 102610),$7154518 (€ 6274862 £ 5335738),45%
25, FC Dallas,32,$124917 (€ 109558 £ 93161),$6495666 (€ 5697017 £ 4844374),41%
26, Austin,24,$107625 (€ 94393 £ 80265),$5596510 (€ 4908413 £ 4173798),26%
27,San Diego FC,28,$18269 (€ 16023 £ 13625),$950000 (€ 833196 £ 708496),88%
