Thiago Almada ,171,63,16(1),1393	,6	,1	,5	,-	,3.2	,84	,0.1	,4	,7.44
Pedro Amador ,181,73,12,1039	,-	,6	,1	,-	,0.8	,81.9	,0.7	,-	,7.02
Brooks Lennon ,178,71,34,3079	,1	,7	,7	,-	,0.3	,84.6	,1.1	,2	,7.01
Giorgos Giakoumakis ,185,84,8(3),724	,5	,1	,2	,-	,3.6	,72.5	,1.4	,2	,6.99
Aleksey Miranchuk ,182,74,11(1),1050	,3	,3	,-	,-	,1.7	,81.4	,0.3	,2	,6.96
Caleb Wiley ,180,73,21,1885	,1	,1	,2	,-	,0.4	,82.7	,1	,-	,6.86
Saba Lobjanidze ,176,72,32(1),2769	,9	,3	,1	,-	,2.7	,77.1	,0.2	,2	,6.81
Brad Guzan ,193,94,35,3151	,-	,-	,3	,1	,-	,72.3	,0.3	,1	,6.78
Bartosz Slisz ,180,76,30(1),2705	,2	,-	,3	,-	,0.9	,86.2	,1.5	,2	,6.78
Efraín Morales ,191,83,3(1),244	,-	,-	,-	,-	,0.8	,88.1	,2.8	,-	,6.75
Xande Silva ,177,68,17(8),1496	,2	,1	,2	,-	,1.7	,84.3	,0.5	,-	,6.71
Tristan Muyumba ,165,54,26(6),2204	,-	,2	,5	,-	,0.9	,88.8	,0.2	,-	,6.65
Stian Gregersen ,192,83,22(4),1989	,3	,-	,7	,1	,0.5	,87.8	,1.6	,-	,6.63
Jamal Thiaré ,183,70,15(13),1342	,8	,-	,-	,-	,1.2	,64.4	,2.3	,-	,6.62
Derrick Williams ,180,75,29(1),2555	,-	,-	,4	,-	,0.7	,87.3	,1.5	,-	,6.60
Daniel Ríos ,185,84,16(14),1428	,7	,3	,-	,-	,1.5	,76	,1.3	,-	,6.54
Ajani Fortune ,175,75,15(15),1494	,1	,2	,4	,-	,0.6	,86.5	,0.2	,1	,6.45
Ronald Hernández ,171,70,9(7),961	,-	,1	,-	,-	,0.6	,85.3	,0.6	,-	,6.41
Noah Cobb ,185,75,16(4),1356	,-	,-	,1	,-	,0.1	,83.5	,1.6	,-	,6.38
Dax McCarty ,176,68,12(13),1088	,-	,-	,2	,-	,0.3	,85.1	,0.4	,-	,6.30
Edwin Mosquera ,172,68,5(17),618	,1	,3	,2	,-	,0.9	,73.9	,0.1	,-	,6.28
Luis Abram ,181,76,13(9),1309	,-	,-	,2	,-	,0.4	,88.4	,0.9	,-	,6.25
Tyler Wolff ,175,70,6(13),518	,1	,-	,-	,-	,0.6	,80.1	,-	,-	,6.21
Josh Cohen ,185,79,2(1),208	,-	,-	,-	,-	,-	,82.6	,-	,-	,6.17
Derrick Etienne ,178,77,0(2),25	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.13
Nick Firmino ,180,79,2(6),164	,-	,-	,-	,-	,0.3	,84.6	,0.1	,-	,6.06
Matt Edwards ,178,79,0(1),1	,-	,-	,-	,-	,1	,50	,1	,-	,6.06
Luke Brennan ,180,68,0(7),146	,-	,-	,1	,-	,0.3	,87	,-	,-	,6.03
