Brad Stuver ,191,82,34,3060	,-	,-	,2	,-	,-	,73.9	,0.1	,3	,6.84
Osman Bukari ,170,66,8(1),620	,1	,2	,1	,-	,1.1	,73.4	,0.3	,-	,6.76
Sebastián Driussi ,179,80,26(1),2260	,7	,3	,7	,1	,2.6	,83.8	,1	,2	,6.73
Dani Pereira ,175,68,23(3),2041	,1	,4	,9	,-	,0.4	,90.2	,0.1	,1	,6.68
Julio Cascante ,186,75,21(4),1871	,2	,-	,11	,-	,0.4	,87.5	,2.1	,-	,6.67
Guilherme Biro ,188,79,26(5),2287	,3	,-	,5	,1	,0.6	,82.5	,1.4	,-	,6.62
Emiliano Rigoni ,180,87,7(4),701	,1	,-	,-	,-	,1.1	,83.9	,0.5	,-	,6.62
Jon Gallagher ,175,72,30(2),2664	,3	,2	,5	,-	,0.5	,82.3	,0.3	,-	,6.59
Mikkel Desler ,184,73,6(1),491	,-	,-	,1	,-	,0.7	,85.5	,0.4	,-	,6.57
Alexander Ring ,178,73,29(5),2600	,2	,4	,5	,-	,1	,84	,0.5	,-	,6.56
Matt Hedges ,194,94,10(5),872	,1	,-	,1	,-	,0.4	,85.4	,1.3	,-	,6.53
Zan Kolmanic ,178,69,6(9),538	,-	,3	,2	,-	,0.2	,83.2	,0.2	,-	,6.50
Diego Rubio ,180,77,23(10),1895	,4	,1	,8	,-	,1.2	,74.3	,1.6	,2	,6.49
Brendan Hines-Ike ,185,77,25(3),2223	,2	,1	,4	,1	,0.4	,90.6	,1.1	,-	,6.47
Owen Wolff ,175,66,17(16),1778	,1	,3	,4	,-	,0.5	,87.5	,0.2	,-	,6.45
Oleksandr Svatok ,186,78,4(2),407	,-	,-	,1	,-	,0.2	,88.9	,0.8	,-	,6.44
Jáder Obrian ,165,62,30(4),2268	,7	,2	,5	,-	,1	,75	,0.3	,-	,6.42
Jhojan Valencia ,172,67,16(11),1436	,-	,-	,8	,-	,0.3	,88.3	,0.3	,-	,6.35
Gyasi Zardes ,188,80,10(23),1176	,3	,2	,2	,-	,0.8	,69.7	,1.3	,1	,6.33
Leo Väisänen ,186,76,9(4),831	,-	,-	,-	,-	,0.3	,92.1	,0.8	,-	,6.30
Ervin Torres ,0,0,0(1),7	,-	,-	,-	,-	,-	,50	,1	,-	,6.28
Hector Jimenez ,176,64,6(9),575	,-	,1	,2	,-	,0.2	,87.2	,0.3	,-	,6.21
CJ Fodrey ,188,84,0(12),189	,-	,1	,3	,-	,0.3	,71.2	,0.7	,-	,6.21
Alonso Ramírez ,173,71,0(2),21	,-	,-	,-	,-	,-	,91.7	,-	,-	,6.19
Ethan Finlay ,174,73,8(14),823	,1	,-	,-	,-	,0.2	,83.8	,0.2	,-	,6.16
Bryant Farkarlun ,170,68,0(1),7	,-	,-	,-	,-	,-	,-	,-	,-	,6.14
