Kristijan Kahlina ,188,0,36,3302	,-	,-	,5	,-	,-	,76.1	,0.2	,5	,6.99
Karol Swiderski ,184,77,8(4),641	,7	,2	,1	,-	,2.3	,81.3	,1	,2	,6.93
Pep Biel ,167,62,9(1),741	,2	,3	,2	,-	,1.8	,83.6	,0.2	,1	,6.89
Adilson Malanda ,185,75,34,3122	,1	,-	,4	,-	,0.2	,85.9	,1.6	,2	,6.85
Ashley Westwood ,175,80,35,3212	,2	,5	,7	,-	,0.2	,84.1	,0.1	,-	,6.79
Jere Uronen ,177,69,24(2),2132	,-	,4	,1	,-	,0.3	,84	,1	,-	,6.74
Tim Ream ,183,80,11,1038	,1	,-	,-	,-	,0.4	,88.5	,1	,-	,6.72
Kerwin Vargas ,180,70,31(4),2619	,6	,2	,8	,-	,1.9	,79.6	,0.5	,1	,6.70
Patrick Agyemang ,193,0,21(12),2024	,10	,3	,5	,1	,1.8	,68	,1.1	,2	,6.69
Liel Abada ,172,68,21(5),1769	,7	,2	,3	,-	,2.1	,76.4	,0.1	,1	,6.67
Andrew Privett ,185,79,32,2925	,-	,-	,5	,-	,0.4	,85.2	,1.6	,-	,6.67
Nathan Byrne ,180,84,33,3032	,-	,2	,7	,-	,0.2	,78.8	,0.9	,-	,6.63
João Pedro ,184,73,5(2),462	,-	,-	,1	,-	,0.4	,74.5	,0.3	,-	,6.59
Djibril Diani ,195,75,23(7),2028	,1	,1	,4	,-	,0.4	,87.2	,0.6	,2	,6.59
Brandt Bronico ,176,70,21(6),1943	,1	,5	,5	,-	,0.9	,77	,0.5	,1	,6.54
Júnior Urso ,180,72,11(11),1059	,1	,-	,5	,-	,0.8	,81.9	,0.6	,-	,6.53
Enzo Copetti ,178,74,6(3),496	,1	,1	,1	,-	,0.9	,65.8	,1.3	,-	,6.44
Ben Bender ,0,0,2(4),195	,1	,-	,1	,-	,0.7	,80.7	,0.3	,-	,6.43
Iuri Tavares ,191,74,8(21),933	,3	,1	,4	,-	,0.9	,67.6	,0.5	,1	,6.41
Brecht Dejaegere ,173,71,10(10),920	,1	,1	,5	,-	,0.5	,78.4	,0.5	,-	,6.38
Jaylin Lindsey ,178,77,3(4),299	,-	,-	,1	,-	,-	,80.3	,1.3	,-	,6.36
Nikola Petkovic ,181,0,5(9),497	,1	,-	,3	,-	,0.9	,75.2	,0.1	,1	,6.31
Bill Tuiloma ,178,79,2(2),198	,-	,-	,-	,-	,0.5	,77.2	,2.3	,-	,6.25
Tyger Smalls ,185,0,1(14),215	,-	,-	,3	,-	,0.3	,79.6	,0.1	,-	,6.14
Jamie Paterson ,175,66,0(4),46	,-	,-	,-	,-	,0.5	,71.4	,-	,-	,6.07
Scott Arfield ,178,70,4(10),378	,-	,-	,2	,1	,0.5	,80.8	,-	,-	,6.03
Nimfasha Berchimas ,172,0,0(3),20	,-	,-	,-	,-	,0.3	,100	,-	,-	,6.02
Nicholas Scardina ,180,74,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
Brandon Cambridge ,183,79,0(4),27	,-	,-	,-	,-	,-	,50	,-	,-	,5.97
Idan Toklomati ,183,0,0(1),17	,-	,-	,-	,-	,-	,80	,-	,-	,5.78
