Lucho Acosta ,161,61,30(3),2831	,14	,16	,7	,-	,2.6	,77	,0.3	,12	,7.70
Luca Orellano ,177,66,31(3),2749	,10	,5	,6	,-	,2.8	,79.9	,0.2	,5	,7.22
Yuya Kubo ,178,72,28(5),2481	,10	,2	,5	,-	,1.9	,82.3	,0.6	,1	,6.98
Evan Louro ,191,102,1,90	,-	,-	,-	,-	,-	,68.4	,-	,-	,6.80
Miles Robinson ,187,84,26,2352	,1	,-	,5	,1	,0.3	,87.5	,3.2	,-	,6.79
Pavel Bucha ,174,70,34,3042	,4	,2	,6	,-	,1.3	,89.5	,0.4	,1	,6.76
Matt Miazga ,193,84,16,1414	,-	,-	,3	,-	,0.6	,86	,2.7	,-	,6.72
Roman Celentano ,191,91,31,2821	,-	,-	,1	,-	,-	,74.2	,0.4	,-	,6.71
Obinna Nwobodo ,180,65,30(1),2556	,-	,1	,7	,1	,0.4	,86.1	,0.4	,-	,6.68
Kevin Kelsy ,188,85,16(8),1287	,6	,-	,6	,-	,1.3	,72.8	,1.6	,-	,6.65
Yamil Asad ,178,74,9(15),916	,3	,5	,1	,-	,0.9	,80.1	,0.3	,-	,6.58
DeAndre Yedlin ,173,75,26(3),2280	,-	,3	,8	,-	,0.4	,82.3	,0.9	,-	,6.53
Kipp Keller ,188,82,10(6),822	,-	,-	,1	,-	,0.4	,87.8	,2.1	,1	,6.52
Chidozie Awaziem ,189,78,8,657	,-	,2	,4	,-	,0.9	,87.8	,2.3	,-	,6.51
Teenage Hadebe ,180,74,4(1),308	,-	,1	,1	,-	,-	,83.7	,1.8	,-	,6.50
Nick Hagglund ,186,87,6(4),463	,-	,-	,-	,-	,0.1	,82.6	,1.8	,-	,6.43
Corey Baird ,178,73,11(11),952	,3	,2	,1	,-	,0.8	,79.9	,0.3	,-	,6.42
Aaron Boupendza ,180,77,5(9),550	,2	,1	,2	,-	,1.3	,70.4	,1	,-	,6.42
Ian Murphy ,188,84,23(8),2292	,-	,-	,8	,-	,0.1	,86.9	,1.3	,-	,6.41
Sergio Santos ,183,84,6(23),967	,3	,1	,1	,-	,0.8	,72.4	,1.3	,-	,6.40
Alvas Powell ,183,75,10(11),822	,-	,-	,3	,1	,0.3	,77.7	,0.5	,-	,6.38
Gerardo Valenzuela ,183,0,11(20),990	,1	,1	,2	,-	,0.6	,84.4	,0.3	,-	,6.30
Nicholas Gioacchini ,183,0,6(2),437	,-	,-	,-	,-	,0.8	,78.6	,0.9	,-	,6.25
Alec Kann ,194,87,3,270	,-	,-	,-	,-	,-	,71.2	,-	,-	,6.23
Malik Pinto ,180,76,1(10),151	,-	,-	,-	,-	,0.1	,87.1	,0.1	,-	,6.16
Bret Halsey ,175,68,3(18),471	,-	,-	,-	,1	,0.4	,83	,0.2	,-	,6.13
Isaiah Foster ,183,78,0(1),2	,-	,-	,-	,-	,-	,50	,-	,-	,6.03
Stiven Jimenez ,173,68,0(1),3	,-	,-	,-	,-	,-	,-	,-	,-	,5.98
London Aghedo ,185,83,0(2),6	,-	,-	,-	,-	,-	,87.5	,-	,-	,5.97
