Jesús Ferreira ,173,68,27(2),2442	,13	,4	,2	,-	,2.2	,76.4	,0.2	,6	,7.18
Alan Velasco ,167,63,28(1),2291	,4	,2	,5	,-	,1.9	,81.3	,0.3	,1	,7.03
Geovane Jesus ,181,78,11(8),987	,-	,2	,5	,-	,0.6	,70.5	,2.8	,1	,6.71
Nkosi Tafari ,193,87,30(3),2757	,3	,3	,6	,-	,0.5	,83	,1.6	,2	,6.71
Maarten Paes ,191,82,33,2892	,-	,-	,1	,1	,-	,65.5	,0.2	,-	,6.68
Paxton Pomykal ,173,74,22(5),1847	,-	,2	,6	,-	,0.4	,85.5	,0.7	,-	,6.67
Marco Farfan ,178,72,32(2),2779	,1	,3	,5	,-	,0.4	,84.2	,1	,-	,6.65
Paul Arriola ,167,66,23(2),1922	,3	,4	,6	,-	,1.2	,70.9	,0.6	,-	,6.64
Facundo Quignón ,178,73,22(7),1916	,1	,1	,4	,-	,0.7	,83.9	,0.7	,-	,6.60
Sebastien Ibeagha ,188,85,29(5),2652	,1	,1	,4	,-	,0.3	,82.9	,1.8	,2	,6.59
Jáder Obrian ,165,62,23(9),2044	,7	,3	,8	,-	,0.8	,74.1	,0.6	,2	,6.58
Bernard Kamungo ,175,68,8(11),641	,6	,1	,-	,-	,1.2	,74.3	,0.4	,3	,6.56
Asier Illarramendi ,179,75,10(4),964	,-	,-	,5	,-	,0.3	,88.3	,0.3	,-	,6.55
José Martínez ,189,84,16(6),1433	,1	,1	,1	,-	,0.3	,87	,0.9	,-	,6.52
Sebastian Lletget ,178,69,15(5),1177	,-	,2	,2	,-	,0.6	,85	,0.8	,-	,6.47
Ema Twumasi ,173,76,21(5),1841	,1	,-	,4	,1	,-	,85.8	,0.5	,-	,6.42
Liam Fraser ,185,81,6(4),598	,-	,-	,-	,-	,0.3	,82	,1.1	,-	,6.42
Sam Junqua ,183,77,11(14),1215	,2	,-	,-	,-	,0.4	,77.1	,1.3	,1	,6.39
Edwin Cerrillo ,175,79,15(4),1365	,-	,-	,6	,-	,0.6	,87.5	,0.1	,-	,6.36
Jimmy Maurer ,188,87,4(1),434	,-	,-	,-	,-	,-	,70.9	,-	,-	,6.35
Tsiki Ntsabeleng ,170,72,3(13),356	,-	,4	,3	,-	,0.2	,79.7	,0.4	,-	,6.31
Dante Sealy ,178,80,2(11),323	,-	,-	,-	,-	,0.2	,74.8	,0.5	,-	,6.30
Eugene Ansah ,183,73,0(11),224	,1	,-	,-	,-	,0.7	,77.6	,0.8	,-	,6.24
Jesús Jiménez ,183,82,8(15),709	,-	,2	,1	,-	,0.7	,80.3	,0.3	,-	,6.18
Herbert Endeley ,175,75,2(6),210	,-	,-	,-	,-	,0.1	,77.1	,0.1	,-	,6.17
José Mulato ,180,75,0(7),101	,-	,-	,1	,-	,0.1	,65	,0.7	,-	,6.15
Amet Korça ,191,82,2(2),156	,-	,-	,-	,-	,-	,85.7	,-	,-	,6.10
Nolan Norris ,180,68,2,136	,-	,-	,1	,-	,-	,86.4	,1	,-	,5.80
Collin Smith ,180,78,2,109	,-	,-	,-	,-	,-	,73.9	,-	,-	,5.76
