Dániel Sallói ,185,70,37(1),3265	,9	,8	,5	,-	,2.3	,79.7	,0.6	,2	,7.11
Johnny Russell ,178,79,24(4),2000	,8	,3	,1	,1	,1.6	,76.2	,1	,4	,7.06
Alan Pulido ,178,82,30(2),2600	,14	,4	,3	,-	,1.9	,83.3	,0.9	,3	,6.98
Erik Thommy ,175,72,33(5),2766	,5	,5	,7	,-	,2.2	,87.9	,0.3	,4	,6.91
Dany Rosero ,187,87,30,2651	,2	,-	,9	,-	,0.8	,89.3	,2.7	,1	,6.80
Gadi Kinda ,173,65,11(13),1120	,4	,5	,4	,-	,0.9	,85	,0.3	,1	,6.75
Jake Davis ,178,70,28(2),2426	,-	,1	,3	,-	,0.2	,83.4	,0.4	,1	,6.70
Tim Leibold ,174,72,10(8),960	,-	,2	,3	,-	,0.4	,86.6	,0.6	,-	,6.68
John Pulskamp ,193,95,5,450	,-	,-	,-	,-	,-	,70.3	,0.2	,-	,6.67
Andreu Fontàs ,188,91,31(1),2785	,-	,-	,5	,1	,0.5	,88.9	,1	,-	,6.67
Nemanja Radoja ,186,77,25(4),2081	,-	,2	,4	,-	,0.3	,89.7	,0.6	,-	,6.65
Kendall McIntosh ,183,79,13(1),1191	,-	,-	,1	,-	,-	,71.1	,0.1	,-	,6.63
Rémi Walter ,174,72,33(4),3069	,3	,2	,2	,-	,0.7	,91	,0.9	,-	,6.62
Logan Ndenbe ,174,72,21(3),1842	,2	,1	,3	,-	,0.6	,87.7	,0.3	,-	,6.61
Graham Zusi ,178,72,9(6),872	,-	,1	,-	,-	,0.7	,77.4	,0.7	,-	,6.58
Tim Melia ,185,95,20,1810	,-	,-	,2	,-	,-	,63.6	,0.1	,1	,6.54
Robert Castellanos ,185,86,7(6),705	,1	,-	,1	,1	,0.2	,82.3	,2.6	,-	,6.49
Robert Voloder ,185,79,11(3),1029	,-	,-	,2	,-	,0.1	,83.5	,1.4	,-	,6.42
Khiry Shelton ,191,86,8(18),924	,1	,1	,2	,-	,0.3	,79.2	,1.1	,-	,6.38
Marinos Tzionis ,169,66,6(15),714	,-	,1	,-	,-	,0.8	,83.5	,0.1	,-	,6.36
William Agada ,175,75,7(8),691	,3	,-	,1	,-	,1.9	,79.7	,0.6	,-	,6.35
Felipe Gutiérrez ,175,70,4(4),294	,-	,-	,1	,-	,0.9	,88.8	,-	,-	,6.35
Roger Espinoza ,180,84,7(19),761	,-	,2	,4	,-	,0.5	,79	,0.6	,-	,6.29
Cameron Duke ,168,61,1(3),132	,-	,-	,-	,-	,-	,78.9	,0.3	,-	,6.23
Felipe Hernández ,173,66,2(9),317	,1	,-	,-	,-	,0.6	,79.6	,0.1	,-	,6.21
Ben Sweat ,185,80,4(1),316	,-	,-	,-	,1	,0.2	,81.7	,0.8	,-	,6.13
Chris Rindov ,188,86,0(1),4	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.08
Stephen Afrifa ,180,68,1(2),51	,-	,-	,-	,-	,-	,100	,-	,-	,6.08
Kayden Pierre ,175,70,0(1),5	,-	,-	,-	,-	,-	,100	,-	,-	,6.05
Danny Flores ,173,68,0(1),6	,-	,-	,-	,-	,-	,50	,-	,-	,5.96
