Lionel Messi ,170,67,4(2),373	,1	,2	,-	,-	,3.3	,78	,0.2	,1	,7.08
CJ dos Santos ,194,86,1,90	,-	,-	,-	,-	,-	,68	,3	,-	,7.06
Diego Gómez ,183,77,5,419	,1	,-	,2	,-	,1	,80.7	,1.8	,1	,7.00
Jean Mota ,172,68,9(4),913	,-	,3	,1	,-	,1.2	,83.7	,0.5	,1	,6.97
Franco Negri ,170,70,16,1332	,1	,1	,3	,1	,1.1	,81	,1	,1	,6.91
Leonardo Campana ,185,74,17(9),1640	,9	,3	,4	,-	,2.1	,78.8	,1.8	,3	,6.80
Sergio Busquets ,189,74,10(1),931	,-	,1	,3	,-	,0.1	,89.3	,0.6	,1	,6.79
Facundo Farías ,175,69,9(2),838	,3	,1	,4	,-	,2.1	,81.8	,-	,-	,6.71
Drake Callender ,191,88,33,2970	,-	,-	,1	,-	,-	,66.8	,0.2	,2	,6.71
Jordi Alba ,170,68,5(2),440	,1	,-	,2	,-	,0.1	,83.2	,-	,-	,6.67
Rodolfo Pizarro ,175,71,11(2),930	,-	,1	,1	,-	,1	,82.6	,0.1	,-	,6.66
Tomás Avilés ,186,72,11,879	,1	,1	,6	,-	,0.5	,84.6	,0.3	,-	,6.66
Gregore ,181,78,5,388	,-	,1	,2	,-	,0.2	,82.7	,1.8	,1	,6.66
Robert Taylor ,182,78,15(12),1459	,4	,5	,5	,-	,0.7	,82.1	,0.2	,1	,6.58
Benjamín Cremaschi ,180,72,21(7),1798	,2	,4	,6	,-	,0.9	,85	,0.8	,-	,6.55
Dixon Arroyo ,179,73,21(3),1790	,1	,-	,4	,-	,0.5	,88.1	,0.7	,-	,6.52
Kamal Miller ,183,75,21(1),1845	,-	,-	,3	,1	,-	,89	,0.8	,1	,6.51
Corentin Jean ,170,65,12(3),837	,1	,-	,2	,-	,0.9	,86.6	,0.3	,-	,6.47
Ian Fray ,183,72,7(4),654	,1	,-	,4	,-	,0.5	,86.2	,0.8	,-	,6.47
Sergii Kryvtsov ,186,83,25(1),2115	,1	,-	,5	,-	,0.2	,87.4	,1	,-	,6.47
DeAndre Yedlin ,173,75,25(3),2324	,-	,2	,7	,-	,0.1	,82.3	,0.6	,-	,6.46
Robbie Robinson ,185,73,3(6),338	,1	,-	,1	,-	,1.8	,82.5	,0.2	,-	,6.44
Josef Martínez ,172,74,20(7),1744	,7	,1	,1	,-	,1.6	,85.4	,0.5	,-	,6.43
Noah Allen ,175,66,14(5),1257	,1	,2	,3	,-	,0.5	,85.9	,0.4	,-	,6.41
Christopher McVey ,192,76,12(4),1209	,-	,-	,3	,-	,-	,88.9	,0.5	,-	,6.38
Nicolás Stefanelli ,166,72,17(8),1340	,2	,-	,2	,-	,1	,76.1	,0.1	,-	,6.37
David Ruíz ,181,73,14(6),1190	,2	,1	,5	,1	,0.4	,88.3	,0.5	,-	,6.35
Israel Boatwright ,183,80,0(2),74	,-	,-	,-	,-	,0.5	,80	,-	,-	,6.28
Ryan Sailor ,193,82,2(6),307	,-	,-	,-	,-	,-	,82	,0.5	,-	,6.27
Bryce Duke ,170,67,4(3),439	,-	,-	,1	,-	,0.4	,85.5	,0.1	,-	,6.26
Ariel Lassiter ,178,70,0(7),144	,-	,-	,-	,-	,0.6	,84.3	,-	,-	,6.22
Shanyder Borgelin ,193,84,0(10),134	,1	,-	,-	,-	,0.9	,42.9	,0.9	,-	,6.21
Edison Azcona ,168,63,0(5),46	,-	,-	,-	,-	,0.4	,70	,-	,-	,6.18
Lawson Sunderland ,190,80,1(1),62	,-	,-	,-	,-	,-	,78.1	,-	,-	,6.15
Víctor Ulloa ,181,75,2(8),157	,-	,-	,-	,-	,-	,89.3	,0.1	,-	,6.05
Harvey Neville ,181,0,2(9),191	,-	,-	,1	,-	,-	,76.4	,-	,-	,6.02
