Mathieu Choinière ,174,71,27(1),2436	,5	,2	,5	,-	,1.4	,82	,0.4	,4	,7.04
Mahala Opoku ,170,74,12,937	,4	,1	,-	,-	,2	,82.2	,0.3	,-	,6.87
Rudy Camacho ,185,79,19(1),1613	,1	,-	,5	,1	,0.4	,86.7	,2.4	,1	,6.83
Jonathan Sirois ,185,81,32(1),2887	,-	,-	,1	,-	,-	,67.7	,0.2	,3	,6.64
Joel Waterman ,185,77,27(1),2377	,1	,1	,8	,1	,0.1	,86.9	,0.5	,1	,6.58
Aarón Herrera ,180,71,16(3),1410	,-	,2	,3	,-	,0.3	,80.3	,0.6	,-	,6.55
Romell Quioto ,178,69,10(3),800	,3	,1	,2	,-	,1.7	,78.9	,1	,-	,6.55
Ariel Lassiter ,178,70,17(8),1604	,1	,2	,3	,-	,1.5	,77.8	,-	,1	,6.52
George Campbell ,188,84,21(5),1854	,1	,1	,5	,-	,0.2	,83.3	,1.1	,2	,6.52
James Pantemis ,185,77,2,173	,-	,-	,-	,-	,-	,78.2	,0.5	,-	,6.52
Bryce Duke ,170,67,20(6),1479	,2	,1	,2	,-	,1	,74.4	,0.2	,1	,6.51
Samuel Piette ,171,73,14(2),1100	,-	,-	,3	,-	,0.1	,87.8	,0.4	,-	,6.50
Victor Wanyama ,188,80,20(5),1789	,-	,-	,6	,-	,0.4	,82.6	,1	,-	,6.49
Lassi Lappalainen ,183,76,13(8),1040	,2	,3	,-	,-	,0.9	,77.9	,0.3	,1	,6.47
Gabriele Corbo ,186,79,25(3),2287	,-	,1	,7	,-	,0.6	,82.6	,1	,-	,6.44
Fernando Álvarez ,187,74,2(2),255	,-	,-	,-	,-	,0.3	,86.9	,1.3	,-	,6.43
Zachary Brault-Guillard ,174,77,14(9),1302	,1	,1	,-	,-	,0.6	,75.5	,0.7	,-	,6.43
Chinonso Offor ,191,84,14(16),1510	,4	,-	,3	,-	,1.2	,62.2	,2.4	,-	,6.42
Nathan Saliba ,178,79,20(8),1772	,-	,-	,3	,-	,0.7	,79	,0.4	,-	,6.41
Mason Toye ,191,82,8(6),676	,3	,-	,-	,-	,1.3	,70.1	,0.6	,1	,6.41
Sunusi Ibrahim ,168,88,11(14),1176	,3	,3	,-	,-	,1.3	,73.2	,1	,-	,6.40
Jojea Kwizera ,175,59,1(3),133	,-	,-	,1	,-	,0.5	,72.9	,-	,-	,6.34
Jules-Anthony Vilsaint ,193,80,4(7),409	,1	,1	,-	,-	,1.2	,66.1	,0.5	,-	,6.30
Ahmed Hamdi ,178,68,4(9),470	,1	,-	,1	,-	,0.4	,75.1	,0.2	,-	,6.21
Rida Zouhir ,178,73,1(4),218	,-	,-	,1	,-	,0.4	,82.6	,0.4	,-	,6.18
Matko Miljevic ,176,76,0(8),124	,-	,1	,2	,-	,0.6	,72.1	,0.1	,-	,6.17
Sean Rea ,170,60,7(8),746	,-	,-	,2	,-	,0.3	,78.3	,-	,-	,6.15
Róbert Thorkelsson ,188,0,2(7),223	,-	,-	,2	,-	,-	,85.5	,0.2	,-	,6.06
Ousman Jabang ,191,81,1(2),76	,-	,-	,1	,-	,0.3	,88.1	,-	,-	,5.96
Kamal Miller ,183,75,6,477	,-	,-	,1	,-	,0.2	,84	,1	,-	,5.95
Ilias Iliadis ,176,0,4(2),253	,-	,-	,1	,1	,0.3	,64.6	,0.5	,-	,5.93
