Caden Clark ,180,73,9(1),733	,4	,2	,1	,-	,1.4	,85.1	,0.3	,1	,7.05
Sebastian Breza ,193,87,1,90	,-	,-	,-	,-	,-	,36.4	,-	,-	,6.77
Raheem Edwards ,173,68,19(7),1615	,-	,5	,8	,1	,0.6	,82.3	,1	,1	,6.74
Josef Martínez ,172,74,14(10),1488	,13	,3	,2	,-	,2.2	,84.4	,0.4	,4	,6.73
Samuel Piette ,171,73,27(1),2210	,1	,1	,6	,-	,0.4	,91.1	,0.9	,-	,6.63
Joel Waterman ,185,77,25(1),2252	,-	,-	,6	,-	,0.1	,91	,1	,1	,6.63
Bryce Duke ,170,67,25(8),2226	,3	,4	,2	,-	,1	,82.8	,0.2	,1	,6.63
Jahkeele Marshall-Rutty ,171,70,8(2),772	,-	,-	,2	,-	,0.8	,90	,0.2	,-	,6.62
Mathieu Choinière ,174,71,17,1499	,2	,1	,5	,-	,0.6	,87.2	,0.5	,-	,6.58
Ruan ,174,65,24(1),2007	,2	,3	,2	,-	,0.4	,84.2	,0.2	,-	,6.54
Nathan Saliba ,178,79,19(6),1774	,1	,1	,5	,1	,1.1	,86	,0.7	,2	,6.54
George Campbell ,188,84,26(3),2295	,-	,2	,9	,-	,0.2	,85.9	,1.5	,1	,6.53
Joaquín Sosa ,189,82,15(4),1275	,-	,-	,4	,-	,0.6	,84.5	,1.2	,1	,6.52
Jonathan Sirois ,185,81,34,3091	,-	,-	,1	,-	,-	,75.9	,0.2	,3	,6.51
Fernando Álvarez ,187,74,25(3),2261	,1	,1	,3	,-	,0.1	,87.8	,1.1	,-	,6.51
Matías Cóccaro ,178,73,10(12),913	,4	,1	,2	,-	,1.3	,71.2	,1	,1	,6.47
Ariel Lassiter ,178,70,20,1600	,3	,5	,5	,1	,1.2	,86.3	,0.1	,1	,6.47
Sunusi Ibrahim ,168,88,10(16),1039	,6	,-	,-	,-	,1.2	,78.6	,0.7	,-	,6.46
Gabriele Corbo ,186,79,18(11),1744	,-	,-	,1	,-	,0.3	,86.5	,0.4	,-	,6.43
Jules-Anthony Vilsaint ,193,80,10(10),914	,2	,2	,2	,-	,1.4	,77.4	,0.3	,-	,6.42
Lassi Lappalainen ,183,76,1(10),323	,-	,1	,-	,-	,0.6	,82	,0.2	,-	,6.41
Tom Pearce ,185,75,3(6),311	,1	,1	,2	,-	,0.2	,84.2	,0.2	,-	,6.30
Mason Toye ,191,82,6(6),477	,1	,-	,-	,-	,0.6	,73.4	,0.6	,-	,6.29
Victor Wanyama ,188,80,4(8),402	,-	,-	,1	,-	,0.2	,86.9	,0.3	,-	,6.27
Mahala Opoku ,170,74,6(11),582	,2	,1	,-	,-	,0.8	,88.7	,0.1	,-	,6.25
Dominik Yankov ,180,67,6(15),693	,2	,1	,4	,-	,0.8	,79.6	,-	,-	,6.23
Rida Zouhir ,178,73,1(6),169	,-	,-	,2	,-	,-	,90.8	,0.1	,-	,6.10
Dawid Bugaj ,185,74,2(3),161	,-	,-	,-	,-	,-	,72	,0.2	,-	,6.03
Ousman Jabang ,191,81,0(1),2	,-	,-	,-	,-	,-	,37.5	,-	,-	,6.02
Alessandro Biello ,185,78,0(2),15	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
