Hany Mukhtar ,173,72,31(1),2751	,8	,8	,5	,-	,3.2	,82.6	,0.3	,4	,7.07
Elliot Panicco ,196,93,5(1),432	,-	,-	,-	,-	,-	,52.7	,0.2	,1	,6.96
Sam Surridge ,191,77,27(1),2395	,12	,2	,4	,-	,2.3	,70.2	,2.3	,5	,6.91
Walker Zimmerman ,191,89,22(3),1933	,1	,1	,2	,-	,0.6	,89.1	,2.4	,2	,6.86
Julian Gaines ,178,73,2(2),223	,-	,-	,1	,-	,-	,86.4	,0.8	,-	,6.74
Lukas MacNaughton ,185,86,5(1),412	,-	,-	,1	,-	,0.7	,88.4	,1.8	,-	,6.70
Aníbal Godoy ,183,75,17(6),1499	,1	,3	,8	,-	,0.5	,89.8	,0.4	,-	,6.63
Taylor Washington ,178,77,8(7),754	,-	,2	,-	,-	,0.1	,83.3	,1.1	,-	,6.57
Jack Maher ,188,79,27(1),2429	,1	,-	,2	,-	,0.3	,89.1	,1.7	,-	,6.56
Alex Muyl ,180,79,27(7),2310	,5	,1	,3	,-	,1	,78.2	,0.6	,2	,6.55
Joe Willis ,195,86,29(1),2626	,-	,-	,1	,1	,-	,66.9	,0.1	,-	,6.49
Shaq Moore ,180,74,19(4),1674	,1	,2	,2	,-	,0.7	,85	,0.4	,-	,6.48
Jacob Shaffelburg ,178,75,16(7),1417	,2	,3	,2	,-	,0.9	,67.2	,0.4	,-	,6.48
Dru Yearwood ,173,68,20(5),1531	,1	,-	,5	,-	,0.7	,82.4	,0.4	,-	,6.47
Daniel Lovitz ,178,77,25(3),2273	,-	,-	,5	,-	,0.1	,79	,1.1	,-	,6.47
Tyler Boyd ,183,74,13(8),1139	,2	,2	,2	,-	,0.8	,77.9	,0.5	,-	,6.47
Patrick Yazbek ,183,78,4(3),376	,-	,-	,2	,-	,0.4	,87.4	,0.6	,-	,6.43
Josh Bauer ,185,79,19(7),1859	,-	,-	,5	,-	,0.4	,85.2	,1.7	,-	,6.43
Teal Bunbury ,188,80,12(15),1143	,3	,2	,1	,-	,0.8	,70.8	,2	,-	,6.40
Brent Kallman ,188,86,5(8),539	,-	,-	,1	,-	,0.6	,84.5	,1	,-	,6.32
McKinze Gaines ,181,74,1(3),123	,-	,1	,-	,-	,0.5	,81.5	,0.3	,-	,6.31
Tah Brian Anunga ,180,81,17(13),1452	,-	,-	,3	,1	,0.2	,86.9	,0.3	,-	,6.28
Sean Davis ,183,75,17(8),1368	,-	,-	,2	,-	,0.1	,86.6	,0.5	,-	,6.27
Forster Ajago ,188,87,3(9),372	,-	,-	,2	,-	,0.8	,69	,1.3	,-	,6.21
Jonathan Pérez ,168,72,2(4),234	,-	,-	,-	,-	,1.3	,86.9	,-	,-	,6.20
Randall Leal ,170,74,0(4),43	,-	,1	,-	,-	,0.8	,76.9	,-	,-	,6.15
Amar Sejdic ,178,72,1(16),296	,-	,-	,-	,-	,0.4	,90.1	,0.1	,-	,6.12
Joey Skinner ,183,63,0(2),4	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.01
Isaiah Jones ,175,0,0(2),10	,-	,-	,-	,-	,-	,92.3	,-	,-	,5.86
