Carles Gil ,171,65,31(3),2734	,11	,8	,6	,-	,2.3	,84.1	,-	,11	,7.59
Tomás Chancalay ,179,76,12(1),1029	,6	,-	,3	,-	,3.5	,81.1	,0.2	,1	,7.16
Djordje Petrovic ,194,89,22,1980	,-	,1	,-	,-	,-	,61.4	,0.1	,1	,7.12
Gustavo Bou ,177,72,16(5),1441	,8	,4	,-	,-	,2.9	,75.2	,0.3	,1	,7.09
Brandon Bye ,183,79,19,1666	,2	,1	,1	,-	,0.6	,74.7	,1.7	,1	,6.93
DeJuan Jones ,181,75,26(1),2343	,1	,5	,3	,-	,0.4	,84	,0.4	,-	,6.90
Dylan Borrero ,180,66,7(1),517	,2	,-	,-	,1	,2	,78.3	,-	,1	,6.87
Ian Harkes ,180,73,7(2),607	,2	,-	,1	,-	,0.7	,86.8	,0.8	,-	,6.85
Henry Kessler ,193,84,9(1),785	,1	,-	,1	,-	,0.4	,88.6	,1.8	,1	,6.80
Matt Polster ,183,77,33,2919	,2	,1	,9	,-	,0.6	,88.7	,1	,-	,6.76
Noel Buck ,180,72,22(5),1921	,3	,1	,4	,-	,0.7	,84.9	,0.2	,2	,6.75
Dave Romney ,188,86,36,3240	,1	,1	,1	,-	,0.4	,85	,3.2	,-	,6.70
Latif Blessing ,170,64,14(1),1043	,-	,1	,4	,1	,0.3	,87	,0.9	,-	,6.69
Mark-Anthony Kaye ,185,77,12,875	,-	,3	,1	,1	,0.5	,85.8	,1.1	,1	,6.64
Bobby Wood ,180,79,19(12),1566	,7	,5	,5	,-	,1.1	,72.6	,1.2	,1	,6.58
Joshua Bolma ,175,61,0(1),26	,-	,-	,-	,-	,1	,95.7	,-	,-	,6.51
Nacho Gil ,168,63,8(2),549	,-	,2	,2	,-	,0.4	,84	,0.3	,-	,6.50
Ryan Spaulding ,170,68,7(3),706	,-	,-	,-	,-	,0.3	,85.5	,0.9	,-	,6.50
Giacomo Vrioni ,188,85,13(17),1358	,6	,2	,1	,-	,1.3	,71.9	,1.4	,1	,6.50
Emmanuel Boateng ,168,68,16(13),1455	,2	,2	,1	,-	,0.6	,84.3	,0.1	,-	,6.47
Earl Edwards Jr. ,190,93,11,990	,-	,-	,2	,-	,-	,66.5	,0.2	,-	,6.46
Andrew Farrell ,181,84,23(2),2105	,-	,-	,2	,-	,0.1	,86.2	,0.5	,-	,6.45
Christian Makoun ,185,75,5(5),493	,-	,1	,-	,-	,0.6	,81.2	,0.4	,-	,6.45
Omar González ,196,94,9(6),861	,1	,-	,3	,-	,0.1	,82.7	,1.5	,-	,6.36
Jacob Jackson ,180,86,3,270	,-	,-	,-	,-	,-	,73.3	,-	,-	,6.30
Ben Sweat ,185,80,3(7),324	,-	,-	,-	,-	,0.2	,74.8	,0.6	,-	,6.24
Esmir Bajraktarevic ,175,64,5(8),494	,-	,-	,-	,-	,1.2	,79.4	,0.3	,-	,6.24
Damián Rivera ,178,73,2(5),180	,-	,-	,-	,-	,0.9	,72.1	,0.6	,-	,6.19
Justin Rennicks ,180,75,2(13),383	,-	,-	,-	,-	,0.2	,77.8	,0.3	,-	,6.14
Tommy McNamara ,176,78,1(6),196	,-	,-	,1	,-	,0.1	,84.6	,0.1	,-	,6.12
Jozy Altidore ,185,79,1(9),196	,1	,-	,1	,-	,0.4	,76.5	,0.2	,-	,6.08
Jack Panayotou ,175,70,2(9),318	,-	,-	,1	,-	,0.3	,79.6	,0.1	,-	,6.08
