Lewis Morgan ,178,75,30(3),2778	,13	,5	,-	,-	,3.1	,74.2	,1.3	,7	,7.16
Emil Forsberg ,177,76,19(4),1745	,10	,4	,1	,-	,2	,83	,0.2	,4	,7.14
Dylan Nealis ,180,79,29(5),2716	,-	,2	,4	,1	,1	,76.5	,2.6	,3	,6.88
John Tolkin ,170,61,31(1),2782	,2	,2	,3	,-	,0.5	,79.4	,0.7	,1	,6.85
Frankie Amaya ,163,63,18(2),1610	,1	,2	,4	,-	,1.1	,82	,0.5	,-	,6.81
Wiki Carmona ,172,71,18(10),1662	,3	,3	,2	,-	,1.4	,78.5	,0.2	,2	,6.73
Dante Vanzeir ,175,68,31(5),2409	,6	,10	,2	,-	,1.6	,64.3	,1.1	,1	,6.67
Noah Eile ,0,0,28(5),2593	,-	,1	,7	,1	,0.5	,86.8	,2.2	,1	,6.66
Sean Nealis ,193,79,28(4),2600	,1	,1	,4	,2	,0.6	,86.6	,2.7	,-	,6.60
Cameron Harper ,175,71,20(11),1772	,5	,-	,4	,-	,1.4	,65.2	,0.3	,-	,6.59
Daniel Edelman ,178,64,33(2),2915	,-	,-	,8	,1	,0.3	,83.6	,1	,-	,6.57
Carlos Coronel ,190,94,31,2821	,-	,-	,2	,-	,-	,54.5	,0.3	,1	,6.56
Kyle Duncan ,178,68,14(7),1281	,1	,1	,4	,-	,0.5	,79.5	,1.4	,-	,6.54
Andrés Reyes ,191,81,21(5),1775	,2	,-	,4	,1	,0.4	,79.6	,2.1	,1	,6.54
Peter Stroud ,0,0,14(3),1034	,-	,1	,2	,-	,0.2	,85	,0.4	,-	,6.46
Ronald Donkor ,173,0,12(8),1026	,-	,-	,2	,-	,0.1	,83.2	,0.5	,-	,6.46
Elias Manoel ,176,75,17(20),1610	,8	,1	,1	,-	,1.6	,65.5	,1	,-	,6.43
Felipe Carballo ,177,72,7(3),579	,1	,-	,3	,-	,0.8	,83.2	,0.5	,-	,6.42
Julian Hall ,0,0,0(11),150	,2	,1	,-	,-	,0.5	,73.7	,0.1	,1	,6.38
Ryan Meara ,192,84,8,631	,-	,-	,1	,-	,-	,54	,0.3	,-	,6.33
Dennis Gjengaar ,0,0,9(16),929	,2	,-	,-	,-	,0.5	,73.3	,-	,-	,6.26
Cory Burke ,191,89,1(19),293	,1	,1	,2	,-	,0.6	,56.7	,1.4	,-	,6.24
Omar Valencia ,180,70,0(1),1	,-	,-	,-	,-	,-	,75	,-	,-	,6.16
Roald Mitchell ,185,73,0(2),16	,-	,-	,-	,-	,-	,33.3	,1.5	,-	,6.16
Aidan O'Connor ,191,0,0(2),18	,-	,-	,-	,-	,-	,28.6	,-	,-	,6.14
Serge Ngoma ,178,75,0(9),112	,1	,-	,2	,-	,0.1	,69	,0.2	,-	,6.00
Mohammed Sofo ,175,0,0(1),27	,-	,-	,-	,-	,-	,72.7	,-	,-	,5.91
