Gabriel Pereira ,175,0,18(4),1544	,6	,3	,2	,-	,2.2	,77.4	,0.4	,3	,7.08
Maxi Moralez ,160,52,4,316	,-	,-	,-	,-	,1.8	,84.5	,1.3	,-	,7.00
Santiago Rodríguez ,172,62,28(3),2582	,5	,5	,9	,-	,1.5	,83.2	,0.2	,2	,6.99
Keaton Parks ,191,81,30(2),2514	,2	,2	,5	,-	,1.3	,88.1	,1.1	,-	,6.80
Maxime Chanot ,185,78,19,1710	,1	,-	,5	,-	,0.8	,87.9	,1.9	,1	,6.71
Talles Magno ,185,70,20(10),1911	,4	,2	,1	,-	,1.7	,82.5	,0.8	,1	,6.70
Birk Risa ,188,79,10,862	,-	,1	,1	,-	,0.3	,85.6	,2.4	,1	,6.70
James Sands ,186,84,24(2),2168	,-	,-	,4	,-	,0.3	,89.1	,1.2	,-	,6.69
Matt Freese ,190,88,10,900	,-	,-	,-	,-	,-	,71	,0.1	,-	,6.69
Andrés Perea ,182,72,8(2),774	,1	,-	,5	,-	,1.9	,83.8	,1.2	,-	,6.68
Thiago Martins ,185,78,24(2),2185	,-	,-	,1	,-	,0.3	,90	,2.4	,1	,6.64
Braian Cufré ,179,82,22(3),1872	,2	,3	,6	,1	,1	,80.2	,0.2	,1	,6.63
Justin Haak ,183,75,10(4),909	,1	,-	,3	,-	,0.1	,89.6	,1.6	,-	,6.57
Julián Fernández ,183,74,2(7),320	,2	,-	,1	,-	,1.7	,77.4	,0.3	,1	,6.56
Tayvon Gray ,180,74,24(4),2049	,-	,1	,4	,-	,0.2	,84.6	,1.1	,-	,6.56
Luis Barraza ,188,88,24,2160	,-	,-	,3	,-	,-	,79.6	,0.2	,-	,6.53
Mounsef Bakrar ,183,80,10,763	,3	,-	,-	,-	,2.8	,59.8	,1.7	,-	,6.50
Richard Ledezma ,173,70,14(9),1187	,-	,4	,3	,-	,0.9	,87.6	,0.3	,-	,6.47
Mitja Ilenic ,178,71,13(9),1193	,-	,2	,5	,-	,0.3	,79.7	,0.4	,-	,6.43
Matías Pellegrini ,180,72,14(10),1153	,1	,1	,9	,-	,0.7	,80.3	,0.5	,-	,6.43
Kevin O'Toole ,178,68,12(9),1193	,-	,-	,3	,-	,0.3	,84.7	,0.3	,-	,6.42
Stephen Turnbull ,183,79,5(6),482	,-	,-	,1	,-	,0.1	,78.5	,0.5	,-	,6.42
Andres Jasson ,175,70,9(12),808	,3	,1	,3	,-	,0.8	,78.9	,0.1	,2	,6.42
Gabriel Segal ,178,72,4(6),417	,2	,-	,-	,-	,1.4	,74	,0.4	,-	,6.39
Alfredo Morales ,183,77,11(11),1158	,-	,1	,3	,-	,0.5	,87.5	,0.9	,-	,6.39
Thiago Andrade ,180,68,1(3),134	,1	,-	,1	,-	,0.3	,87.5	,0.3	,-	,6.38
Nico Benalcázar ,184,82,0(1),10	,-	,-	,-	,-	,-	,100	,-	,-	,6.20
Tony Alfaro ,187,82,4(2),376	,-	,-	,2	,-	,0.2	,81.7	,0.5	,-	,6.10
Alonso Martínez ,173,72,0(3),30	,-	,-	,-	,-	,0.7	,90.9	,-	,-	,6.02
