Santiago Rodríguez ,172,62,34,3013	,12	,6	,8	,-	,2.8	,82.2	,0.4	,7	,7.42
Hannes Wolf ,179,69,34(2),2731	,5	,6	,3	,-	,1.3	,79.4	,0.2	,2	,6.86
James Sands ,186,84,31,2774	,1	,1	,12	,1	,0.4	,86.8	,1.8	,-	,6.85
Alonso Martínez ,173,72,21(7),1672	,16	,3	,1	,-	,2.2	,77	,0.3	,2	,6.84
Matt Freese ,190,88,36,3193	,-	,-	,3	,-	,-	,76.1	,0.3	,6	,6.77
Talles Magno ,185,70,0(3),65	,1	,-	,-	,-	,1	,71.4	,1.7	,-	,6.76
Maxi Moralez ,160,52,11(8),1115	,1	,5	,4	,-	,0.6	,80.2	,0.2	,1	,6.71
Keaton Parks ,191,81,32(2),2725	,2	,2	,8	,1	,1	,85.8	,2.3	,-	,6.69
Tayvon Gray ,180,74,19(8),1634	,1	,7	,4	,-	,0.4	,78.2	,0.5	,1	,6.65
Kevin O'Toole ,178,68,30(2),2606	,1	,2	,3	,-	,0.7	,84.3	,1	,-	,6.64
Thiago Martins ,185,78,33,3001	,-	,-	,5	,-	,0.4	,89.4	,2	,-	,6.51
Christian McFarlane ,182,63,4(4),367	,-	,-	,-	,-	,0.3	,85.2	,-	,-	,6.48
Agustín Ojeda ,169,63,11(12),935	,3	,-	,1	,-	,1	,86.3	,0.3	,1	,6.46
Malachi Jones ,178,0,4(10),482	,1	,1	,3	,-	,1.3	,72	,0.5	,-	,6.46
Justin Haak ,183,75,8(9),981	,-	,-	,5	,-	,0.5	,84.9	,1	,-	,6.45
Andrés Perea ,182,72,11(19),1260	,3	,1	,5	,-	,0.6	,82.1	,0.9	,-	,6.45
Mitja Ilenic ,178,71,18(7),1671	,1	,-	,2	,1	,0.8	,73.7	,0.7	,-	,6.43
Andres Jasson ,175,70,2(1),158	,-	,-	,-	,-	,-	,93	,0.7	,-	,6.43
Birk Risa ,188,79,25(4),2154	,-	,-	,2	,-	,0.2	,85.4	,1.2	,-	,6.40
Mounsef Bakrar ,183,80,14(15),1388	,4	,-	,3	,-	,2.1	,67.9	,0.6	,-	,6.36
Strahinja Tanasijevic ,183,73,10(6),990	,-	,-	,6	,1	,0.2	,88.2	,1.1	,-	,6.36
Julián Fernández ,183,74,6(16),667	,2	,2	,1	,1	,1	,77.6	,-	,1	,6.30
Luis Barraza ,188,88,0(1),78	,-	,-	,-	,-	,-	,86.2	,-	,-	,6.15
Jovan Mijatovic ,179,0,2(9),263	,-	,-	,-	,-	,0.8	,66.7	,0.4	,-	,6.05
Piero Elias ,174,0,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
