Julián Carranza ,176,66,11(1),1073	,6	,-	,5	,-	,3.8	,71	,2	,1	,7.20
Kai Wagner ,183,80,32(2),2907	,1	,10	,7	,-	,0.5	,79.1	,1	,2	,7.19
Tai Baribo ,181,78,16(4),1412	,9	,2	,2	,-	,2.5	,78.9	,1.6	,2	,7.03
Dániel Gazdag ,178,76,28(2),2502	,17	,2	,6	,-	,1.7	,81.3	,0.2	,2	,7.01
Jack McGlynn ,180,73,25(5),2312	,4	,5	,3	,-	,1.7	,86.4	,0.4	,3	,7.00
Nathan Harriel ,180,68,27(2),2377	,2	,3	,4	,-	,1.2	,82.9	,2	,-	,6.94
Mikael Uhre ,188,89,25(5),2016	,10	,5	,5	,-	,1.7	,64.5	,1.7	,2	,6.88
Damion Lowe ,190,79,12,967	,-	,-	,5	,-	,1	,77.9	,3	,-	,6.83
Jakob Glesnes ,188,84,31(1),2805	,2	,2	,3	,-	,0.8	,81.6	,1.7	,-	,6.82
Quinn Sullivan ,180,69,25(9),2404	,5	,8	,4	,-	,2.3	,77.4	,0.4	,2	,6.78
Andre Blake ,188,78,14,1117	,-	,-	,1	,-	,-	,69.7	,0.3	,1	,6.75
Andrew Rick ,0,0,6,540	,-	,-	,-	,-	,-	,51.4	,0.3	,-	,6.67
Jack Elliott ,198,83,27(1),2394	,-	,2	,7	,1	,0.7	,82.5	,1.7	,2	,6.67
Leon Flach ,178,75,22(1),1832	,-	,3	,2	,-	,0.3	,86	,0.5	,-	,6.67
José Martínez ,178,72,13(3),1020	,-	,1	,4	,-	,0.9	,80.2	,1.1	,-	,6.63
Alejandro Bedoya ,182,73,13(17),1450	,2	,2	,5	,-	,0.7	,75.5	,1.8	,2	,6.60
Oliver Semmle ,193,91,14(3),1404	,-	,-	,1	,-	,-	,62.9	,0.1	,-	,6.51
Jesús Bueno ,179,74,7(7),624	,3	,-	,-	,-	,0.9	,82.1	,0.4	,-	,6.49
Danley Jean Jacques ,182,72,4(4),445	,-	,-	,-	,-	,0.5	,82.5	,0.9	,-	,6.44
Olivier Mbaizo ,180,70,12(9),1107	,-	,1	,-	,-	,0.2	,79.7	,0.6	,-	,6.41
Chris Donovan ,183,74,4(14),370	,1	,-	,-	,-	,0.5	,60.3	,1.6	,-	,6.29
Samuel Adeniran ,196,91,0(7),130	,-	,-	,-	,-	,1.4	,67.7	,0.6	,-	,6.27
Markus Anderson ,178,77,2(2),99	,-	,-	,-	,-	,0.5	,41.7	,0.5	,-	,6.26
Jeremy Rafanello ,183,75,4(7),318	,-	,-	,-	,-	,0.5	,76.1	,0.5	,-	,6.18
Cavan Sullivan ,170,68,0(3),9	,-	,-	,-	,-	,0.7	,100	,-	,-	,6.12
CJ Olney ,0,0,0(1),18	,-	,-	,-	,-	,-	,87.5	,-	,-	,6.05
