Abraham Rodriguez ,173,75,1,90	,-	,-	,-	,-	,-	,81	,1	,-	,7.14
Diego Rubio ,180,77,13(3),1079	,3	,2	,4	,-	,1.9	,68.7	,1.3	,1	,6.93
Rafael Navarro ,184,84,10,888	,1	,1	,2	,-	,2.1	,72.8	,1.6	,1	,6.83
Bryan Acosta ,175,80,13(1),1121	,-	,-	,6	,-	,1	,82.7	,1.1	,-	,6.81
Connor Ronan ,170,71,33(1),2855	,1	,8	,3	,-	,0.8	,86.5	,0.1	,1	,6.79
William Yarbrough ,187,73,20,1800	,-	,-	,-	,-	,-	,69.8	,0.2	,2	,6.77
Andrew Gutman ,178,72,12,1009	,1	,-	,1	,-	,1.3	,74.2	,1.3	,-	,6.77
Cole Bassett ,180,68,22(3),1904	,6	,1	,5	,-	,1.6	,83.3	,0.6	,1	,6.73
Max ,175,73,7(3),664	,1	,-	,4	,-	,1.4	,79	,0.8	,-	,6.71
Keegan Rosenberry ,173,73,25(1),2270	,-	,-	,3	,-	,0.7	,82.7	,0.7	,-	,6.66
Danny Wilson ,187,79,25(4),2316	,1	,1	,5	,-	,0.4	,79.8	,1.8	,1	,6.48
Andreas Maxsø ,190,85,33,2925	,2	,-	,2	,-	,0.5	,89	,2.1	,2	,6.45
Sebastian Anderson ,173,70,3(1),271	,-	,-	,-	,-	,0.3	,80.3	,0.3	,-	,6.45
Anthony Markanich ,185,0,3(7),336	,-	,-	,-	,-	,0.8	,69.7	,1.7	,-	,6.44
Sam Nicholson ,175,71,20(2),1504	,1	,1	,6	,-	,0.8	,76.3	,0.9	,-	,6.44
Moïse Bombito ,190,83,8(3),751	,-	,-	,4	,1	,0.7	,87.6	,1.5	,-	,6.43
Lalas Abubakar ,185,82,23(3),1926	,2	,-	,7	,1	,0.3	,85.9	,1.3	,-	,6.41
Marko Ilic ,191,81,13,1170	,-	,-	,-	,-	,-	,66.9	,0.1	,-	,6.37
Kévin Cabral ,185,69,14(13),1176	,2	,-	,8	,-	,0.7	,76.9	,0.3	,-	,6.30
Luis Díaz ,175,72,0(3),91	,-	,-	,1	,-	,1.7	,81.5	,0.3	,-	,6.30
Darren Yapi ,185,79,8(12),888	,-	,1	,3	,-	,0.7	,65	,1.2	,-	,6.29
Calvin Harris ,183,73,11(7),902	,1	,3	,-	,-	,0.6	,78.5	,0.4	,-	,6.29
Jonathan Lewis ,170,68,12(14),1188	,1	,-	,1	,-	,1	,82	,0.3	,-	,6.28
Michael Barrios ,163,61,7(13),835	,2	,2	,3	,-	,0.9	,67.1	,0.3	,-	,6.28
Jack Price ,171,87,0(2),38	,-	,-	,1	,-	,-	,84.6	,-	,-	,6.23
Steven Beitashour ,178,78,7(5),611	,-	,-	,-	,-	,-	,82.5	,0.8	,-	,6.22
Rémi Cabral ,183,79,0(1),11	,-	,-	,-	,-	,1	,100	,-	,-	,6.18
Danny Leyva ,178,68,6(10),631	,-	,-	,1	,-	,0.3	,78.9	,0.6	,-	,6.17
Ralph Priso ,175,80,11(15),1030	,-	,-	,8	,-	,0.1	,84.3	,0.2	,-	,6.14
Braian Galván ,166,64,6(14),660	,1	,-	,1	,2	,0.5	,74.5	,0.1	,-	,6.10
Alex Gersbach ,183,73,3,262	,-	,-	,-	,-	,0.3	,67.4	,0.3	,-	,6.10
Marlon Vargas ,168,63,0(1),11	,-	,-	,-	,-	,-	,62.5	,-	,-	,6.09
Yosuke Hanya ,173,0,0(2),47	,-	,-	,-	,-	,0.5	,77.8	,0.5	,-	,6.07
Sidnei Tavares ,188,76,5,301	,-	,-	,2	,-	,0.4	,81.2	,-	,-	,6.04
Oliver Larraz ,178,63,0(1),21	,-	,-	,-	,-	,-	,91.7	,-	,-	,5.98
