Djordje Mihailovic ,177,70,30,2570	,11	,10	,6	,-	,1.9	,84.4	,0.3	,6	,7.25
Rafael Navarro ,184,84,34(1),2882	,15	,1	,6	,-	,2.6	,72.4	,2	,4	,7.14
Cole Bassett ,180,68,29(1),2573	,9	,6	,1	,-	,2.3	,88.2	,1.1	,3	,7.12
Moïse Bombito ,190,83,17(1),1548	,2	,-	,3	,-	,0.6	,84.8	,2.1	,1	,6.76
Oliver Larraz ,178,63,26(9),2286	,2	,-	,2	,-	,0.5	,86.9	,0.5	,-	,6.58
Keegan Rosenberry ,173,73,30(2),2709	,-	,1	,1	,-	,0.5	,78.1	,1.2	,-	,6.56
Andreas Maxsø ,190,85,35,3150	,-	,1	,3	,-	,0.4	,88.1	,1.9	,-	,6.52
Kévin Cabral ,185,69,19(5),1368	,5	,1	,2	,1	,1.4	,77.6	,0.3	,2	,6.51
Omir Fernandez ,170,64,19(15),1738	,2	,3	,-	,-	,0.8	,80.9	,0.2	,-	,6.50
Connor Ronan ,170,71,22(5),1904	,1	,1	,2	,-	,0.4	,86.2	,0.2	,-	,6.49
Michael Edwards ,192,87,3(2),207	,1	,-	,1	,-	,0.4	,89.2	,0.8	,-	,6.47
Sebastian Anderson ,173,70,5(4),504	,-	,1	,1	,-	,0.1	,76	,0.4	,-	,6.47
Lalas Abubakar ,185,82,16(3),1340	,-	,1	,4	,-	,0.3	,90.2	,1.9	,-	,6.46
Zack Steffen ,191,86,34,3060	,-	,-	,3	,-	,-	,65.8	,0.1	,-	,6.41
Sam Vines ,178,68,25(3),2261	,1	,-	,-	,-	,0.5	,85	,0.3	,1	,6.38
Calvin Harris ,183,73,16(17),1556	,3	,3	,5	,-	,0.8	,80.7	,0.3	,-	,6.37
Jonathan Lewis ,170,68,7(18),759	,3	,3	,1	,-	,0.7	,80.7	,0.4	,-	,6.35
Reggie Cannon ,181,74,5(2),434	,1	,-	,2	,-	,0.4	,90	,0.3	,-	,6.32
Jackson Travis ,172,0,6(3),486	,-	,-	,-	,-	,-	,79.3	,0.3	,-	,6.31
Lamine Diack ,186,78,0(4),16	,-	,-	,-	,-	,-	,80	,0.3	,-	,6.21
Darren Yapi ,185,79,5(27),739	,2	,1	,5	,1	,0.4	,68.6	,0.6	,-	,6.18
Jasper Löffelsend ,180,0,2(16),333	,-	,-	,3	,-	,0.2	,82.2	,0.2	,-	,6.17
Kimani Stewart-Baynes ,175,0,0(12),131	,-	,1	,-	,-	,0.1	,83.3	,0.1	,-	,6.15
Adam Beaudry ,188,0,1,90	,-	,-	,-	,-	,-	,66.7	,1	,-	,6.09
Wayne Frederick II ,183,66,0(1),1	,-	,-	,-	,-	,-	,100	,1	,-	,6.00
