Cristian Arango ,178,70,9(4),907	,6	,1	,3	,-	,2.2	,78	,1.6	,-	,7.19
Jefferson Savarino ,168,67,24(2),2168	,8	,3	,2	,-	,2.8	,81.9	,0.1	,3	,7.16
Pablo Ruiz ,172,80,15(2),1379	,4	,4	,5	,1	,1.6	,86.2	,0.3	,2	,7.15
Braian Ojeda ,172,68,24(8),2401	,-	,1	,7	,-	,1.1	,86	,0.7	,1	,6.93
Brayan Vera ,180,77,26,2285	,3	,1	,13	,-	,1.2	,81.2	,1.3	,1	,6.79
Justen Glad ,183,66,33(1),2959	,5	,-	,8	,1	,0.5	,87.6	,1.8	,2	,6.78
Diego Luna ,173,85,16(9),1444	,6	,1	,1	,-	,1	,86	,0.1	,-	,6.74
Bryan Oviedo ,172,60,21(6),2031	,-	,4	,3	,-	,0.5	,86.7	,0.4	,-	,6.73
Zac MacMath ,188,80,30,2718	,-	,-	,2	,-	,-	,67.9	,0.3	,1	,6.70
Andrew Brody ,178,66,26(4),2386	,-	,2	,3	,-	,0.2	,83.5	,0.4	,-	,6.64
Jasper Löffelsend ,180,0,15(6),1137	,1	,1	,2	,-	,0.7	,83.6	,0.3	,-	,6.64
Emeka Eneli ,175,0,14(8),1439	,-	,-	,5	,-	,0.1	,87.4	,0.5	,1	,6.57
Danny Musovski ,183,77,14(11),1239	,5	,4	,2	,-	,1	,67.4	,1.4	,1	,6.56
Andrés Gómez ,171,61,17(15),1575	,1	,5	,2	,-	,1.5	,73.4	,0.2	,2	,6.56
Justin Meram ,185,75,2(4),182	,-	,1	,1	,-	,1	,78.4	,0.8	,-	,6.54
Marcelo Silva ,185,91,15(1),1435	,-	,-	,2	,-	,0.8	,90.2	,1.8	,-	,6.50
Nelson Palacio ,180,80,12(1),1110	,-	,1	,3	,-	,0.6	,91.9	,0.5	,-	,6.49
Maikel Chang ,177,75,12(10),1018	,-	,4	,1	,-	,0.6	,80.2	,0.2	,-	,6.47
Damir Kreilach ,186,79,15(13),1346	,4	,1	,3	,-	,1.3	,82.2	,1.3	,1	,6.45
Rubio Rubín ,160,75,14(9),1340	,2	,2	,3	,-	,1.3	,77	,1.3	,1	,6.45
Bode Hidalgo ,183,77,13(10),1178	,-	,1	,2	,-	,0.3	,80.3	,0.6	,-	,6.40
Anderson Julio ,180,70,14(16),1254	,5	,-	,3	,-	,1.2	,74.4	,0.7	,-	,6.37
Kevon Lambert ,191,82,0(2),22	,-	,-	,-	,-	,-	,100	,0.5	,-	,6.31
Ilijah Paul ,183,84,1(1),64	,-	,-	,-	,-	,1	,82.4	,2	,-	,6.28
Erik Holt ,185,84,1(1),55	,-	,-	,-	,-	,-	,88.4	,-	,-	,6.25
Bertin Jacquesson ,183,82,4(6),356	,-	,-	,-	,-	,1.2	,69.5	,0.5	,-	,6.17
Axel Kei ,185,73,0(1),6	,-	,-	,-	,-	,3	,-	,-	,-	,6.13
Zavier Gozo ,170,63,0(1),6	,-	,-	,-	,-	,-	,50	,-	,-	,6.11
Moses Nyeman ,165,65,0(2),23	,-	,-	,-	,-	,0.5	,86.7	,-	,-	,6.10
Scott Caldwell ,173,69,3(1),176	,-	,-	,-	,-	,-	,80.9	,-	,-	,6.08
Gavin Beavers ,193,83,6(1),585	,-	,-	,1	,-	,-	,67.1	,0.1	,-	,6.08
Ilijah Paul ,183,81,0(4),42	,-	,-	,1	,-	,0.3	,82.4	,0.3	,-	,6.07
