Cristian Espinoza ,175,73,34,2979	,4	,12	,5	,-	,1.9	,77.1	,0.2	,3	,7.12
Hernán López ,169,67,22(2),1831	,6	,2	,4	,-	,1.8	,72.7	,0.2	,2	,6.87
Daniel ,188,93,12,1080	,-	,-	,1	,-	,-	,77.3	,0.4	,-	,6.72
Rodrigues ,188,76,31,2760	,3	,1	,4	,-	,0.8	,85.6	,1.9	,1	,6.71
Vítor Costa ,182,73,22(7),2105	,2	,3	,7	,-	,0.7	,78.1	,1.2	,1	,6.69
Carlos Akapo ,179,70,20(1),1607	,-	,1	,7	,-	,0.5	,81.2	,1.9	,-	,6.69
Bruno Wilson ,192,78,12(1),1041	,1	,2	,4	,1	,0.3	,85.1	,1.5	,-	,6.60
Benjamin Kikanovic ,183,75,13(11),1255	,3	,-	,3	,-	,0.9	,74	,1.8	,-	,6.60
Jeremy Ebobisse ,183,82,25(6),1952	,6	,1	,-	,-	,1.5	,79.2	,1	,1	,6.52
Oscar Verhoeven ,183,0,5(1),404	,-	,-	,1	,-	,-	,80.2	,1.2	,-	,6.52
Paul Marie ,170,69,16(14),1536	,3	,1	,4	,-	,0.3	,79.5	,0.2	,-	,6.46
Amahl Pellegrino ,190,68,22(10),1740	,7	,2	,-	,-	,1.3	,74.4	,0.2	,-	,6.42
Carlos Gruezo ,173,67,23(1),1978	,-	,-	,9	,-	,0.8	,86.4	,0.5	,-	,6.38
Tanner Beason ,185,80,17(9),1622	,-	,-	,1	,-	,0.2	,83.9	,1.3	,-	,6.35
Jackson Yueill ,175,76,28(4),2462	,1	,1	,2	,1	,0.6	,89.4	,0.3	,-	,6.32
William Yarbrough ,187,73,19,1710	,-	,-	,1	,-	,-	,71.9	,0.4	,-	,6.25
Michael Baldisimo ,168,75,0(2),23	,-	,-	,-	,-	,-	,100	,-	,-	,6.23
Niko Tsakiris ,178,70,19(6),1479	,-	,1	,1	,-	,0.4	,84.5	,0.2	,-	,6.23
Jamar Ricketts ,175,0,0(1),34	,-	,-	,-	,-	,-	,-	,-	,-	,6.22
Daniel Munie ,183,82,12(5),1110	,-	,-	,-	,-	,0.4	,82	,1.4	,-	,6.19
Ousseni Bouda ,175,78,3(9),369	,1	,-	,1	,-	,0.8	,81.5	,0.5	,-	,6.17
Alfredo Morales ,183,77,4(19),636	,-	,-	,3	,-	,0.3	,82.9	,0.4	,-	,6.16
Jack Skahan ,178,78,6(23),845	,1	,1	,6	,-	,0.7	,77.7	,0.3	,-	,6.14
Tommy Thompson ,170,72,0(10),83	,-	,-	,1	,-	,0.2	,94.7	,0.1	,-	,6.09
Will Richmond ,173,77,0(1),1	,-	,-	,-	,-	,1	,-	,1	,-	,6.03
Preston Judd ,191,95,6(20),709	,1	,-	,4	,1	,0.7	,65.8	,0.5	,-	,6.00
Jacob Jackson ,180,86,3,270	,-	,-	,-	,-	,-	,70.2	,-	,-	,5.77
