Marcel Hartel ,177,68,9,810	,3	,5	,3	,-	,1.7	,84.1	,0.1	,1	,7.36
Cedric Teuchert ,182,80,10,761	,5	,4	,2	,-	,2.6	,69.7	,0.2	,2	,7.30
Célio Pompeu ,178,74,15(2),1247	,3	,3	,5	,-	,1.5	,71.6	,0.4	,2	,7.04
Eduard Löwen ,188,91,21(2),1865	,5	,2	,3	,-	,2.3	,79.6	,0.7	,1	,7.00
Henry Kessler ,193,84,8,676	,1	,-	,1	,-	,0.5	,92.2	,2.1	,-	,6.89
João Klauss ,190,84,23(4),1972	,5	,2	,3	,-	,2.9	,68	,2.3	,3	,6.87
Simon Becher ,185,85,6(3),549	,4	,-	,1	,-	,1	,69.9	,1.4	,2	,6.79
Tomas Totland ,181,0,28(2),2489	,2	,1	,7	,-	,0.6	,74.8	,0.8	,2	,6.71
Chris Durkin ,183,75,26(2),2263	,1	,2	,10	,-	,1	,76.2	,1.5	,-	,6.67
Roman Bürki ,187,85,32,2822	,-	,-	,-	,-	,-	,68.7	,0.2	,2	,6.57
Joakim Nilsson ,185,78,15(4),1213	,1	,-	,5	,-	,0.3	,83.6	,2.3	,-	,6.57
Tim Parker ,188,88,20(1),1790	,-	,-	,6	,-	,0.6	,85.7	,2	,-	,6.56
Jayden Reid ,0,0,7(5),732	,-	,2	,3	,-	,0.3	,80.4	,0.4	,-	,6.55
Indiana Vassilev ,175,72,23(6),1846	,3	,4	,5	,-	,1.3	,79.7	,0.6	,-	,6.50
John Klein ,170,63,6(4),545	,1	,1	,-	,-	,1.1	,78.3	,0.5	,-	,6.47
Aziel Jackson ,175,70,8(8),802	,-	,-	,3	,-	,1.3	,81.1	,0.4	,-	,6.46
Anthony Markanich ,185,0,15(4),1316	,-	,-	,4	,1	,0.9	,73.5	,1.4	,-	,6.46
Akil Watts ,178,79,9(8),964	,-	,1	,2	,-	,0.5	,84.5	,0.6	,-	,6.45
Joshua Yaro ,180,74,7(6),769	,1	,-	,1	,-	,0.2	,85.1	,1.8	,-	,6.45
Tomás Ostrák ,176,75,8(4),692	,1	,-	,4	,-	,1.4	,86.3	,-	,-	,6.44
Jake Nerwinski ,183,79,6(5),555	,1	,-	,1	,-	,0.1	,83.1	,1.5	,-	,6.42
Kyle Hiebert ,183,85,14(6),1362	,-	,-	,1	,-	,0.5	,81.7	,1.9	,-	,6.42
Rasmus Alm ,174,70,11(9),841	,2	,2	,3	,-	,0.7	,69.1	,0.7	,-	,6.42
Nökkvi Thórisson ,188,0,10(20),1179	,4	,-	,3	,-	,1.5	,70.5	,1.3	,-	,6.41
Hosei Kijima ,178,0,8(10),784	,1	,1	,4	,-	,0.8	,75.7	,0.3	,-	,6.39
Jannes Horn ,186,81,7(2),561	,-	,1	,4	,-	,0.6	,89.3	,0.8	,-	,6.31
Samuel Adeniran ,196,91,4(13),588	,2	,1	,2	,-	,1.5	,72.6	,1.2	,-	,6.29
Njabulo Blom ,173,66,11(5),876	,1	,-	,4	,-	,0.2	,83.9	,0.4	,-	,6.23
Michael Wentzel ,189,83,2(2),174	,-	,-	,-	,-	,-	,72.7	,1.3	,-	,6.21
Ben Lundt ,197,100,2(1),238	,-	,-	,-	,-	,-	,63.9	,0.3	,-	,6.19
Jake Girdwood-Reich ,185,75,1(7),145	,-	,-	,-	,-	,-	,86.3	,0.3	,-	,6.09
Nikolas Dyhr ,177,60,2(3),137	,-	,-	,-	,-	,-	,64.9	,0.2	,-	,6.07
Caden Glover ,0,0,0(5),50	,-	,-	,-	,-	,0.6	,37.5	,0.4	,-	,6.06
Brendan McSorley ,0,0,0(1),8	,-	,-	,-	,-	,-	,50	,-	,-	,5.88
Mykhi Joyner ,0,0,0(1),45	,-	,-	,-	,-	,-	,50	,-	,-	,5.88
