Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
34,GK,Brad Stuver ,191,82,34,3060	,-	,-	,2	,-	,-	,73.9	,0.1	,3	,6.84
26,M(CLR)/FW,Osman Bukari ,170,66,8(1),620	,1	,2	,1	,-	,1.1	,73.4	,0.3	,-	,6.76
29,AM(CLR)/FW,Sebastián Driussi ,179,80,26(1),2260	,7	,3	,7	,1	,2.6	,83.8	,1	,2	,6.73
24,DMC,Dani Pereira ,175,68,23(3),2041	,1	,4	,9	,-	,0.4	,90.2	,0.1	,1	,6.68
31,D(C),Julio Cascante ,186,75,21(4),1871	,2	,-	,11	,-	,0.4	,87.5	,2.1	,-	,6.67
25,D(CL),Guilherme Biro ,188,79,26(5),2287	,3	,-	,5	,1	,0.6	,82.5	,1.4	,-	,6.62
32,M(CLR)/FW,Emiliano Rigoni ,180,87,7(4),701	,1	,-	,-	,-	,1.1	,83.9	,0.5	,-	,6.62
29,D(LR)/M(LR)/FW,Jon Gallagher ,175,72,30(2),2664	,3	,2	,5	,-	,0.5	,82.3	,0.3	,-	,6.59
30,D(R)/M(R),Mikkel Desler ,184,73,6(1),491	,-	,-	,1	,-	,0.7	,85.5	,0.4	,-	,6.57
34,D(C)/M(CLR),Alexander Ring ,178,73,29(5),2600	,2	,4	,5	,-	,1	,84	,0.5	,-	,6.56
35,D(C),Matt Hedges ,194,94,10(5),872	,1	,-	,1	,-	,0.4	,85.4	,1.3	,-	,6.53
25,D(L),Zan Kolmanic ,178,69,6(9),538	,-	,3	,2	,-	,0.2	,83.2	,0.2	,-	,6.50
32,AM(C)/FW,Diego Rubio ,180,77,23(10),1895	,4	,1	,8	,-	,1.2	,74.3	,1.6	,2	,6.49
30,D(C),Brendan Hines-Ike ,185,77,25(3),2223	,2	,1	,4	,1	,0.4	,90.6	,1.1	,-	,6.47
20,M(CLR),Owen Wolff ,175,66,17(16),1778	,1	,3	,4	,-	,0.5	,87.5	,0.2	,-	,6.45
30,D(C),Oleksandr Svatok ,186,78,4(2),407	,-	,-	,1	,-	,0.2	,88.9	,0.8	,-	,6.44
30,AM(LR)/FW,Jáder Obrian ,165,62,30(4),2268	,7	,2	,5	,-	,1	,75	,0.3	,-	,6.42
28,DMC,Jhojan Valencia ,172,67,16(11),1436	,-	,-	,8	,-	,0.3	,88.3	,0.3	,-	,6.35
33,M(LR)/FW,Gyasi Zardes ,188,80,10(23),1176	,3	,2	,2	,-	,0.8	,69.7	,1.3	,1	,6.33
27,D(C),Leo Väisänen ,186,76,9(4),831	,-	,-	,-	,-	,0.3	,92.1	,0.8	,-	,6.30
17,Midfielder,Ervin Torres ,0,0,0(1),7	,-	,-	,-	,-	,-	,50	,1	,-	,6.28
36,D(LR)/M(R),Hector Jimenez ,176,64,6(9),575	,-	,1	,2	,-	,0.2	,87.2	,0.3	,-	,6.21
21,Midfielder,CJ Fodrey ,188,84,0(12),189	,-	,1	,3	,-	,0.3	,71.2	,0.7	,-	,6.21
23,Midfielder,Alonso Ramírez ,173,71,0(2),21	,-	,-	,-	,-	,-	,91.7	,-	,-	,6.19
34,AM(LR),Ethan Finlay ,174,73,8(14),823	,1	,-	,-	,-	,0.2	,83.8	,0.2	,-	,6.16
23,Forward,Bryant Farkarlun ,170,68,0(1),7	,-	,-	,-	,-	,-	,-	,-	,-	,6.14
