Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
32,GK,Kristijan Kahlina ,188,0,36,3302	,-	,-	,5	,-	,-	,76.1	,0.2	,5	,6.99
28,AM(C)/FW,Karol Swiderski ,184,77,8(4),641	,7	,2	,1	,-	,2.3	,81.3	,1	,2	,6.93
28,AM(CR),Pep Biel ,167,62,9(1),741	,2	,3	,2	,-	,1.8	,83.6	,0.2	,1	,6.89
23,D(C),Adilson Malanda ,185,75,34,3122	,1	,-	,4	,-	,0.2	,85.9	,1.6	,2	,6.85
35,DMC,Ashley Westwood ,175,80,35,3212	,2	,5	,7	,-	,0.2	,84.1	,0.1	,-	,6.79
30,D(L)/M(L),Jere Uronen ,177,69,24(2),2132	,-	,4	,1	,-	,0.3	,84	,1	,-	,6.74
37,D(CL)/DMC,Tim Ream ,183,80,11,1038	,1	,-	,-	,-	,0.4	,88.5	,1	,-	,6.72
23,AM(LR),Kerwin Vargas ,180,70,31(4),2619	,6	,2	,8	,-	,1.9	,79.6	,0.5	,1	,6.70
24,FW,Patrick Agyemang ,193,0,21(12),2024	,10	,3	,5	,1	,1.8	,68	,1.1	,2	,6.69
23,M(LR),Liel Abada ,172,68,21(5),1769	,7	,2	,3	,-	,2.1	,76.4	,0.1	,1	,6.67
24,D(C),Andrew Privett ,185,79,32,2925	,-	,-	,5	,-	,0.4	,85.2	,1.6	,-	,6.67
32,D(LR)/M(R),Nathan Byrne ,180,84,33,3032	,-	,2	,7	,-	,0.2	,78.8	,0.9	,-	,6.63
22,D(L),João Pedro ,184,73,5(2),462	,-	,-	,1	,-	,0.4	,74.5	,0.3	,-	,6.59
27,DMC,Djibril Diani ,195,75,23(7),2028	,1	,1	,4	,-	,0.4	,87.2	,0.6	,2	,6.59
29,D(R)/M(C),Brandt Bronico ,176,70,21(6),1943	,1	,5	,5	,-	,0.9	,77	,0.5	,1	,6.54
36,M(CR),Júnior Urso ,180,72,11(11),1059	,1	,-	,5	,-	,0.8	,81.9	,0.6	,-	,6.53
29,AM(R)/FW,Enzo Copetti ,178,74,6(3),496	,1	,1	,1	,-	,0.9	,65.8	,1.3	,-	,6.44
24,AM(CR),Ben Bender ,0,0,2(4),195	,1	,-	,1	,-	,0.7	,80.7	,0.3	,-	,6.43
24,AM(L),Iuri Tavares ,191,74,8(21),933	,3	,1	,4	,-	,0.9	,67.6	,0.5	,1	,6.41
34,M(CLR),Brecht Dejaegere ,173,71,10(10),920	,1	,1	,5	,-	,0.5	,78.4	,0.5	,-	,6.38
25,D(LR),Jaylin Lindsey ,178,77,3(4),299	,-	,-	,1	,-	,-	,80.3	,1.3	,-	,6.36
22,M(C),Nikola Petkovic ,181,0,5(9),497	,1	,-	,3	,-	,0.9	,75.2	,0.1	,1	,6.31
30,D(CR),Bill Tuiloma ,178,79,2(2),198	,-	,-	,-	,-	,0.5	,77.2	,2.3	,-	,6.25
22,Forward,Tyger Smalls ,185,0,1(14),215	,-	,-	,3	,-	,0.3	,79.6	,0.1	,-	,6.14
33,AM(CLR)/FW,Jamie Paterson ,175,66,0(4),46	,-	,-	,-	,-	,0.5	,71.4	,-	,-	,6.07
36,M(CLR),Scott Arfield ,178,70,4(10),378	,-	,-	,2	,1	,0.5	,80.8	,-	,-	,6.03
17,Forward,Nimfasha Berchimas ,172,0,0(3),20	,-	,-	,-	,-	,0.3	,100	,-	,-	,6.02
23,D(R),Nicholas Scardina ,180,74,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
23,Forward,Brandon Cambridge ,183,79,0(4),27	,-	,-	,-	,-	,-	,50	,-	,-	,5.97
20,Forward,Idan Toklomati ,183,0,0(1),17	,-	,-	,-	,-	,-	,80	,-	,-	,5.78
