Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
28,FW,Hugo Cuypers ,185,75,31,2634	,10	,2	,3	,-	,2.4	,70.7	,2.3	,1	,6.92
21,AM(CLR),Brian Gutiérrez ,178,64,26(6),2381	,6	,2	,5	,-	,1.9	,81.1	,0.4	,1	,6.77
26,M(LR)/FW,Maren Haile-Selassie ,177,68,23(4),2041	,5	,2	,1	,-	,1.5	,87	,0.5	,1	,6.68
33,D(C)/M(C),Gastón Giménez ,188,82,18(11),1688	,1	,2	,2	,-	,0.7	,85.3	,0.6	,2	,6.65
35,D(C),Rafael Czichos ,187,86,26(2),2337	,1	,2	,7	,-	,0.4	,86	,1.8	,1	,6.64
31,M(CLR)/FW,Fabian Herbers ,180,75,24(6),2040	,3	,4	,7	,-	,0.8	,84.1	,0.8	,1	,6.64
24,D(C),Carlos Terán ,188,85,14(4),1223	,1	,1	,3	,1	,0.4	,84.8	,1.8	,-	,6.60
29,D(C),Wyatt Omsberg ,193,82,11(1),838	,-	,-	,4	,-	,0.3	,85.3	,1.2	,-	,6.50
29,D(L),Chase Gasper ,183,83,2(2),241	,-	,-	,1	,-	,-	,81.2	,1	,-	,6.48
33,D(CR)/M(R),Arnaud Souquet ,179,72,21(5),1873	,-	,1	,-	,-	,0.5	,84	,0.9	,-	,6.47
29,D(LR)/M(CR),Kellyn Acosta ,175,68,27(7),2314	,3	,2	,6	,-	,0.7	,84.5	,0.4	,1	,6.46
28,D(CL)/M(L),Andrew Gutman ,178,72,11,735	,1	,-	,1	,-	,1.2	,73.3	,0.9	,-	,6.44
33,M(CLR),Xherdan Shaqiri ,169,72,9(3),745	,2	,1	,1	,-	,0.7	,79.6	,0.3	,1	,6.41
26,D(LR)/M(R),Allan Arigoni ,184,80,25(3),2103	,1	,-	,6	,-	,0.6	,81.1	,0.8	,-	,6.39
21,GK,Chris Brady ,191,77,33,2970	,-	,1	,2	,-	,-	,65.5	,0.2	,1	,6.38
28,AM(CLR)/FW,Chris Mueller ,175,75,15(12),1358	,-	,2	,1	,-	,0.9	,83	,0.4	,-	,6.35
28,D(LR)/M(L),Jonathan Dean ,173,72,12(12),1107	,1	,-	,2	,-	,0.3	,81.1	,0.7	,1	,6.34
25,DMC,Federico Navarro ,173,70,8(8),680	,-	,1	,5	,-	,0.2	,86.3	,0.4	,-	,6.32
30,D(C),Tobias Salquist ,190,85,10(4),921	,-	,1	,1	,-	,0.1	,88.3	,0.9	,-	,6.31
29,AM(C)/FW,Tom Barlow ,188,84,5(23),737	,2	,-	,2	,-	,0.9	,68.8	,0.9	,-	,6.20
20,Defender,Justin Reynolds ,178,77,1(7),219	,-	,-	,-	,-	,0.4	,85.5	,0.6	,-	,6.18
21,FW,Georgios Koutsias ,184,80,5(25),794	,2	,1	,2	,-	,0.8	,72.6	,0.6	,-	,6.17
27,D(C)/DMC,Mauricio Pineda ,185,78,11(10),1144	,1	,-	,5	,-	,0.2	,90.1	,0.5	,-	,6.15
21,Forward,Omari Glasgow ,175,69,0(2),34	,-	,-	,-	,-	,0.5	,66.7	,0.5	,-	,6.13
30,M(CLR)/FW,Ariel Lassiter ,178,70,5(2),445	,-	,1	,1	,-	,1	,85.8	,-	,-	,6.12
22,Midfielder,Javier Casas ,173,65,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
33,GK,Spencer Richey ,185,88,1,90	,-	,-	,-	,-	,-	,52	,-	,-	,5.76
