Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
31,AM(CL)/FW,Lucho Acosta ,161,61,33(3),3038	,19	,12	,8	,-	,2.4	,74.7	,0.1	,13	,7.69
24,D(L)/M(CLR),Álvaro Barreal ,172,66,36(2),3247	,7	,7	,7	,-	,1.7	,76.3	,0.3	,5	,7.24
28,AM(L)/FW,Aaron Boupendza ,180,77,8(6),876	,6	,1	,4	,-	,2.9	,70.9	,0.9	,1	,7.06
24,D(C),Yerson Mosquera ,187,76,29(1),2674	,3	,1	,8	,1	,0.7	,81.4	,3.1	,3	,7.00
29,D(C),Matt Miazga ,193,84,29,2597	,-	,1	,12	,-	,0.6	,86.5	,3.1	,1	,6.97
26,FW,Brandon Vázquez ,188,90,31(2),2789	,9	,2	,4	,-	,2.3	,69.6	,2.5	,-	,6.97
28,DMC,Obinna Nwobodo ,180,65,32(1),2783	,2	,3	,10	,-	,0.4	,85.7	,0.5	,1	,6.96
31,DMC,Júnior Moreno ,175,70,30(3),2664	,4	,3	,-	,-	,0.4	,89.4	,0.3	,1	,6.81
33,D(R)/M(R),Santiago Arias ,178,72,18(11),1841	,2	,1	,4	,-	,0.9	,75.6	,0.8	,1	,6.75
25,AM(C)/FW,Brenner ,175,70,6(2),537	,1	,-	,2	,-	,2.4	,84.8	,0.3	,1	,6.72
32,D(CR),Nick Hagglund ,186,87,26(1),2162	,1	,-	,2	,1	,0.3	,82.7	,2.9	,-	,6.71
24,GK,Roman Celentano ,191,91,37,3391	,-	,-	,3	,-	,-	,64.5	,0.3	,-	,6.68
32,AM(LR)/FW,Dominique Badji ,183,77,12(15),1074	,5	,3	,1	,-	,0.9	,79.5	,1.1	,-	,6.58
31,M(CLR)/FW,Yuya Kubo ,178,72,12(17),1305	,-	,3	,2	,-	,0.9	,83.7	,0.4	,-	,6.52
25,D(C),Ian Murphy ,188,84,21(6),1919	,-	,1	,1	,2	,0.1	,82.9	,1.1	,-	,6.42
34,GK,Alec Kann ,194,87,1,90	,-	,-	,-	,-	,-	,90.9	,-	,-	,6.41
30,D(CR)/M(R),Alvas Powell ,183,75,12(15),1161	,-	,1	,-	,1	,0.3	,76.6	,0.6	,-	,6.39
30,FW,Sergio Santos ,183,84,11(17),945	,4	,1	,5	,-	,1	,71.2	,0.7	,-	,6.35
35,D(LR)/M(R),Raymon Gaddis ,175,65,17(14),1483	,-	,-	,4	,-	,0.1	,80.4	,0.3	,-	,6.28
21,Forward,Arquímides Ordóñez ,184,72,4(4),277	,-	,-	,1	,-	,0.6	,85	,0.1	,-	,6.24
23,M(C),Marco Angulo ,180,67,9(17),801	,-	,1	,2	,-	,0.3	,84.6	,0.2	,-	,6.21
25,Defender,Bret Halsey ,175,68,2(8),226	,-	,-	,1	,-	,0.3	,85.4	,0.2	,-	,6.21
25,Forward,Benjamin Stitz ,0,0,0(1),17	,-	,-	,-	,-	,-	,100	,1	,-	,6.14
20,AM(C)/FW,Gerardo Valenzuela ,183,0,0(2),7	,-	,-	,-	,-	,-	,80	,-	,-	,6.14
22,Midfielder,Malik Pinto ,180,76,2(21),382	,-	,-	,3	,-	,-	,86.9	,0.2	,-	,6.11
23,Defender,Joey Akpunonu ,191,84,0(1),8	,-	,-	,-	,-	,-	,100	,-	,-	,6.04
17,Midfielder,Stiven Jimenez ,173,68,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
