Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
36,GK,Jimmy Maurer ,188,87,4,360	,-	,-	,-	,-	,-	,80	,0.8	,1	,7.25
27,FW,Petar Musa ,190,84,27(3),2306	,16	,3	,6	,-	,2.9	,68.6	,2.7	,4	,7.09
35,M(C),Asier Illarramendi ,179,75,22(3),1957	,2	,5	,8	,-	,1.2	,89.5	,0.4	,3	,6.92
32,M(CLR)/FW,Sebastian Lletget ,178,69,20(11),1866	,2	,7	,1	,-	,0.6	,91.2	,0.3	,1	,6.75
27,GK,Maarten Paes ,191,82,30,2700	,-	,-	,2	,-	,-	,75.8	,0.1	,2	,6.75
26,DMC,Show ,180,75,6(1),494	,-	,-	,-	,-	,0.9	,85.9	,0.9	,-	,6.67
30,D(R)/M(CLR),Paul Arriola ,167,66,28(3),2462	,5	,2	,7	,-	,1.6	,78	,0.5	,1	,6.65
24,AM(CLR)/FW,Jesús Ferreira ,173,68,14(8),1324	,5	,3	,-	,-	,1.3	,79.1	,0.1	,-	,6.62
21,AM(C),Patrickson Delgado ,180,76,14(9),1164	,4	,2	,3	,-	,0.7	,84.7	,0.4	,-	,6.56
28,D(CL)/M(L),Sam Junqua ,183,77,26(5),2242	,1	,2	,2	,-	,0.5	,84	,1.1	,1	,6.55
30,D(R)/M(R),Ruan ,174,65,5(1),429	,-	,1	,1	,-	,-	,79	,0.5	,-	,6.54
22,AM(CL),Alan Velasco ,167,63,5(3),371	,2	,-	,3	,-	,1.5	,70.6	,0.1	,-	,6.51
26,D(CLR)/M(L),Marco Farfan ,178,72,23(3),2033	,1	,1	,4	,-	,0.2	,88.5	,0.8	,-	,6.51
23,FW,Logan Farrington ,188,79,10(19),1211	,4	,5	,4	,-	,1.3	,76.6	,0.7	,1	,6.50
33,D(C),Sebastien Ibeagha ,188,85,31,2790	,2	,-	,7	,-	,0.4	,84.4	,1.5	,2	,6.48
28,D(C),Nkosi Tafari ,193,87,25(3),2251	,3	,-	,4	,1	,0.7	,85.3	,1	,-	,6.47
20,Forward,Tarik Scott ,178,64,0(2),52	,-	,-	,1	,-	,-	,76	,-	,-	,6.47
27,DMC,Liam Fraser ,185,81,17(1),1387	,1	,1	,4	,-	,0.5	,86.5	,0.6	,-	,6.44
27,AM(C),Tsiki Ntsabeleng ,170,72,11(14),1084	,1	,1	,3	,-	,0.3	,84.3	,0.2	,-	,6.42
22,M(LR),Dante Sealy ,178,80,9(8),853	,1	,-	,3	,-	,1.2	,77.8	,0.5	,-	,6.40
22,Midfielder,Carl Sainté ,180,82,1(5),147	,-	,-	,-	,-	,0.2	,89.1	,0.3	,-	,6.34
23,AM(LR),Bernard Kamungo ,175,68,13(16),1317	,-	,2	,2	,-	,0.9	,80.6	,0.3	,-	,6.32
36,D(C),Omar González ,196,94,10(5),837	,-	,-	,2	,-	,0.3	,92.6	,0.8	,-	,6.31
28,D(R)/M(R),Ema Twumasi ,173,76,13(6),1180	,-	,1	,3	,-	,0.1	,86.6	,0.6	,-	,6.29
23,Defender,Herbert Endeley ,175,75,1(3),111	,-	,-	,-	,-	,-	,78.4	,-	,-	,6.25
30,Forward,Eugene Ansah ,183,73,5(12),427	,1	,-	,-	,-	,0.8	,78.7	,0.4	,1	,6.24
23,Forward,Tomas Pondeca ,175,75,2(1),117	,-	,-	,-	,-	,0.3	,86.2	,-	,-	,6.21
20,D(L),Nolan Norris ,180,68,2(2),194	,-	,-	,3	,-	,-	,88	,0.8	,-	,6.17
19,Forward,Anthony Ramirez ,175,65,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.10
25,M(CLR),Paxton Pomykal ,173,74,0(1),6	,-	,-	,-	,-	,-	,91.7	,-	,-	,6.08
