Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
34,FW,Christian Benteke ,190,83,31,2790	,14	,3	,8	,-	,3.5	,63.8	,7.9	,6	,7.48
27,D(C),Donovan Pines ,194,88,21(1),1847	,3	,-	,5	,-	,0.5	,88	,2.1	,3	,7.00
34,M(CL),Mateusz Klich ,183,84,31(1),2726	,4	,7	,9	,1	,1.3	,82.9	,0.2	,1	,6.94
31,GK,Alex Bono ,190,95,9(1),855	,-	,-	,-	,-	,-	,67.2	,0.2	,-	,6.93
26,D(L)/M(CL),Lewis O'Brien ,173,74,17,1515	,1	,1	,5	,-	,1.2	,83.7	,0.7	,1	,6.88
34,D(CR)/DMC,Victor Pálsson ,186,77,17(1),1575	,-	,2	,2	,-	,0.5	,77.2	,2.7	,-	,6.78
32,D(CLR)/M(R),Andy Nájar ,170,69,12(9),1101	,-	,-	,3	,-	,0.5	,84.5	,0.6	,-	,6.76
34,D(C),Steven Birnbaum ,186,80,20(2),1611	,1	,-	,2	,1	,0.7	,83.8	,4	,-	,6.76
23,AM(CLR)/FW,Ted Ku-DiPietro ,175,73,12(14),1165	,5	,2	,-	,-	,1.2	,73.4	,0.4	,2	,6.73
29,AM(CL)/FW,Taxiarchis Fountas ,170,65,12(5),1102	,6	,-	,3	,-	,3.1	,79.3	,0.3	,1	,6.73
23,AM(CLR),Gabriel Pirani ,170,71,10,837	,1	,-	,-	,-	,1.9	,84.6	,0.2	,1	,6.70
29,D(CR)/DMC,Russell Canouse ,177,72,27,2222	,-	,1	,8	,-	,0.4	,85.5	,0.6	,-	,6.65
37,D(L)/M(CLR),Pedro Santos ,170,65,16(5),1504	,1	,1	,3	,-	,0.9	,74.6	,0.2	,-	,6.64
34,D(L),Éric Davis ,180,78,6(2),538	,-	,-	,-	,-	,0.4	,74.3	,0.8	,-	,6.64
27,M(L),Gaoussou Samaké ,170,73,5,363	,-	,-	,-	,-	,0.6	,75.4	,0.8	,-	,6.63
30,D(R)/M(R),Ruan ,174,65,15(9),1427	,-	,5	,3	,-	,0.4	,77.4	,0.3	,-	,6.60
25,D(R)/M(CR),Chris Durkin ,183,75,24(7),1979	,3	,2	,2	,-	,0.6	,75.9	,0.4	,2	,6.60
32,D(CL)/M(L),Derrick Williams ,180,75,21(3),1848	,1	,-	,4	,-	,0.6	,84.9	,1.9	,1	,6.54
31,M(CLR)/FW,Cristian Dájome ,172,70,7(12),778	,2	,1	,2	,-	,0.6	,76	,0.6	,-	,6.46
30,D(C),Brendan Hines-Ike ,185,77,9(3),935	,-	,-	,3	,-	,0.3	,84.7	,1.1	,-	,6.44
32,GK,Tyler Miller ,193,88,25,2206	,-	,-	,1	,-	,-	,70.9	,0.2	,-	,6.39
28,D(L),Mohanad Jeahze ,166,0,5(1),366	,-	,1	,1	,-	,0.7	,74.2	,0.3	,-	,6.33
22,Defender,Jacob Greene ,173,70,5(6),481	,1	,-	,1	,-	,0.2	,69.3	,0.5	,-	,6.33
18,D(C),Matai Akinmboni ,191,77,2(1),184	,-	,-	,-	,-	,0.3	,88.7	,1	,-	,6.32
20,M(CR),Jackson Hopkins ,188,74,2(5),192	,-	,-	,-	,-	,0.7	,82.4	,0.3	,-	,6.20
34,AM(R)/FW,Erik Hurtado ,178,79,1(6),271	,-	,-	,-	,-	,1.1	,74.5	,0.9	,-	,6.19
27,FW,Nigel Robertha ,186,77,3(7),306	,1	,-	,-	,-	,0.7	,72.4	,0.2	,-	,6.16
19,Forward,Kristian Fletcher ,183,0,1(9),125	,-	,1	,-	,-	,0.2	,69.6	,0.2	,-	,6.11
30,M(CL),Yamil Asad ,178,74,5(16),515	,-	,-	,3	,-	,0.5	,76.5	,0.2	,-	,6.11
31,FW,José Fajardo ,181,67,3(4),243	,-	,-	,-	,-	,1	,68.2	,0.7	,-	,6.10
23,Defender,Hayden Sargis ,183,77,0(2),17	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.05
