Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
31,GK,Andrew Tarbell ,191,86,1,90	,-	,-	,-	,-	,-	,100	,-	,1	,7.96
35,M(C),Héctor Herrera ,185,80,33(1),2959	,4	,13	,7	,2	,2	,86.8	,0.8	,7	,7.51
26,M(CR),Adalberto Carrasquilla ,170,65,26(3),2456	,3	,5	,11	,-	,1.5	,77.8	,0.4	,-	,6.88
26,D(R)/M(R),Griffin Dorsey ,182,72,14(9),1441	,3	,2	,8	,-	,0.7	,83.5	,0.5	,2	,6.87
30,D(CLR)/M(R),Franco Escobar ,175,72,28(4),2602	,3	,-	,12	,-	,0.6	,84.9	,0.9	,1	,6.85
24,D(C),Micael ,190,82,26(2),2370	,1	,-	,6	,1	,0.4	,86	,2.2	,1	,6.84
27,AM(CLR)/FW,Amine Bassi ,173,72,29(3),2418	,11	,1	,2	,1	,1.5	,88.1	,0.1	,2	,6.84
29,M(C),Artur ,181,68,35(3),3158	,2	,-	,6	,-	,0.5	,89.6	,0.3	,1	,6.82
29,D(CL),Teenage Hadebe ,180,74,12(2),1112	,1	,-	,1	,-	,0.1	,89.4	,1.3	,-	,6.72
34,D(CLR),Daniel Steres ,183,78,21(5),1868	,2	,2	,2	,-	,0.4	,83.3	,1.3	,1	,6.68
28,D(L)/M(L),Tate Schmitt ,178,72,5,397	,1	,-	,1	,-	,0.6	,81.3	,1.6	,-	,6.66
39,GK,Steve Clark ,188,86,37,3392	,-	,1	,5	,-	,-	,76.2	,0.2	,3	,6.66
29,AM(CLR)/FW,Corey Baird ,178,73,32(6),2625	,9	,5	,5	,-	,1.1	,78.9	,0.3	,1	,6.65
33,D(C),Erik Sviatchenko ,184,82,20(1),1781	,-	,-	,8	,-	,1	,82.1	,1.9	,-	,6.60
22,AM(L),Nelson Quiñónes ,175,67,23(9),1876	,4	,1	,5	,1	,1	,85.2	,0.3	,-	,6.59
25,D(C),Ethan Bartlow ,183,77,21(6),1986	,-	,1	,4	,-	,0.4	,82.2	,1.4	,-	,6.50
25,AM(R),Iván Franco ,173,74,11(15),1065	,3	,1	,3	,-	,1	,74.1	,0.8	,-	,6.41
24,AM(L),Thorleifur Úlfarsson ,0,0,1(20),548	,3	,1	,1	,-	,0.9	,71.4	,0.5	,1	,6.33
23,AM(L)/FW,Ibrahim Aliyu ,184,77,16(11),1282	,3	,2	,2	,-	,0.8	,76.2	,0.7	,-	,6.32
29,DMC,Luís Caicedo ,172,67,11(15),1207	,-	,-	,6	,-	,0.1	,86.4	,0.3	,-	,6.31
26,AM(CLR)/FW,Sebastian Kowalczyk ,169,54,5(4),358	,-	,1	,1	,-	,0.2	,94	,-	,-	,6.30
31,D(L)/M(L),Brad Smith ,177,70,3(17),498	,1	,2	,-	,-	,0.4	,77.4	,0.3	,-	,6.27
20,DMC,Brooklyn Raines ,173,63,3(4),202	,-	,-	,-	,-	,0.3	,86.4	,0.3	,-	,6.26
27,FW,Sebastián Ferreira ,181,70,2(9),295	,-	,-	,1	,-	,0.6	,73.7	,0.7	,-	,6.16
29,D(L),Chase Gasper ,183,83,3(2),210	,-	,-	,1	,-	,-	,75.6	,1.2	,-	,6.04
