Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
30,M(CLR)/FW,Dénis Bouanga ,175,70,33(3),2983	,25	,6	,3	,-	,4.4	,70.3	,0.8	,7	,7.59
34,D(LR)/M(LR),Ryan Hollingshead ,188,84,30(7),2774	,7	,-	,5	,-	,0.7	,80.1	,2	,2	,7.02
25,D(L)/M(L),Diego Palacios ,169,68,33(1),2882	,-	,3	,12	,-	,0.5	,85	,0.7	,-	,6.94
26,AM(C),Timothy Tillman ,183,74,25(5),2065	,4	,2	,7	,-	,0.9	,86.9	,0.5	,2	,6.88
26,M(C),José Cifuentes ,178,70,13(6),1359	,1	,3	,4	,-	,1.5	,77.4	,1	,1	,6.84
22,D(C),Mamadou Fall ,188,74,1,90	,-	,-	,-	,-	,1	,75.8	,2	,-	,6.84
36,M(CLR)/FW,Carlos Vela ,177,77,27(12),2389	,9	,8	,2	,-	,1.8	,78.8	,0.3	,1	,6.83
31,D(C),Jesús Murillo ,183,72,19(5),1856	,1	,-	,4	,-	,0.7	,82.3	,1.3	,-	,6.81
23,M(R),Cristian Olivera ,175,77,12(3),1050	,2	,-	,2	,-	,1.9	,72.5	,0.1	,-	,6.79
40,D(C),Giorgio Chiellini ,187,85,21(4),1741	,1	,-	,3	,-	,0.4	,82.9	,1.8	,-	,6.78
31,GK,Maxime Crépeau ,185,88,12,1080	,-	,-	,2	,-	,-	,68.4	,0.3	,2	,6.78
23,AM(CLR)/FW,Mateusz Bogusz ,175,69,21(12),1901	,3	,4	,6	,-	,1.9	,84.1	,0.3	,1	,6.78
34,D(C)/DMC,Ilie Sánchez ,182,79,36(3),3056	,1	,3	,8	,-	,0.4	,86.3	,1.5	,-	,6.75
40,GK,Eldin Jakupovic ,191,85,2,180	,-	,-	,-	,-	,-	,63.9	,-	,-	,6.71
27,D(C),Denil Maldonado ,183,78,19(2),1672	,1	,-	,5	,-	,0.3	,85.5	,2.3	,-	,6.63
32,D(C),Aaron Long ,186,79,18(7),1616	,-	,1	,3	,-	,0.3	,87.1	,1.6	,1	,6.62
23,AM(CLR)/FW,Mahala Opoku ,170,74,12(6),1112	,2	,2	,1	,1	,1.6	,81.5	,0.3	,1	,6.61
29,D(R)/M(R),Sergi Palencia ,168,67,14(11),1285	,-	,1	,4	,-	,0.3	,80.4	,0.7	,1	,6.60
29,D(LR)/M(CR),Kellyn Acosta ,175,68,22(7),1848	,-	,-	,5	,-	,0.6	,84.5	,0.4	,-	,6.55
32,GK,John McCarthy ,185,84,25,2250	,-	,-	,-	,-	,-	,62.9	,-	,1	,6.54
22,AM(L),Stipe Biuk ,0,0,13(17),1340	,3	,1	,2	,-	,1	,76.2	,0.5	,-	,6.45
28,M(C),Danny Crisostomo ,176,68,3(3),279	,-	,-	,2	,-	,0.2	,89	,0.2	,-	,6.39
20,DMC,Erik Dueñas ,163,59,8(10),750	,-	,-	,2	,-	,0.6	,86.5	,0.1	,-	,6.35
29,FW,Mario González ,184,76,6(5),457	,1	,1	,1	,-	,0.7	,72.1	,0.5	,-	,6.33
21,Forward,Yekeson Subah ,180,79,0(1),13	,-	,-	,-	,-	,-	,100	,-	,-	,6.32
23,M(CL),Filip Krastev ,178,68,0(10),164	,1	,-	,-	,-	,0.7	,80	,0.3	,-	,6.27
21,AM(R)/FW,Nathan Ordaz ,180,75,2(17),298	,-	,1	,-	,-	,0.2	,78.2	,0.3	,-	,6.16
22,Defender,Julian Gaines ,178,73,1(1),66	,-	,-	,-	,-	,-	,94.7	,-	,-	,5.90
