Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
37,AM(CR)/FW,Lionel Messi ,170,67,16(4),1576	,21	,10	,2	,-	,4.6	,80.7	,0.2	,9	,8.32
38,GK,Óscar Ustari ,184,82,1,90	,-	,-	,-	,-	,-	,86.8	,-	,1	,7.67
38,AM(CLR)/FW,Luis Suárez ,182,72,22(6),2012	,20	,9	,6	,-	,2.9	,76	,0.5	,4	,7.41
22,M(CL),Diego Gómez ,183,77,16(4),1450	,3	,3	,6	,-	,1.3	,82.2	,1.1	,1	,7.09
31,D(CR)/M(R),DeAndre Yedlin ,173,75,3,270	,-	,-	,-	,-	,-	,88.5	,0.3	,-	,7.01
36,D(L)/M(L),Jordi Alba ,170,68,25(4),2322	,4	,11	,7	,-	,0.7	,83.4	,0.1	,-	,6.88
36,D(C)/DMC,Sergio Busquets ,189,74,27(4),2495	,1	,4	,6	,1	,0.1	,89.1	,1	,1	,6.83
22,DMC,Federico Redondo ,188,78,15(2),1214	,2	,2	,6	,-	,0.6	,89.7	,0.5	,1	,6.81
27,D(C),David Martínez ,180,75,5,372	,-	,1	,1	,-	,0.4	,85.4	,0.4	,-	,6.81
25,D(R),Marcelo Weigandt ,175,74,23(1),2090	,-	,3	,8	,-	,0.7	,87.2	,1.1	,-	,6.79
31,D(C),Nicolás Freire ,186,80,9(1),740	,-	,-	,1	,-	,0.1	,90.8	,1.6	,-	,6.78
29,AM(CLR),Matías Rojas ,180,78,10(5),891	,5	,2	,1	,-	,1.3	,82.4	,0.1	,1	,6.77
27,GK,Drake Callender ,191,88,33,2970	,-	,-	,-	,-	,-	,77.6	,0.3	,1	,6.76
31,D(R)/M(CR),Julian Gressel ,185,84,31(1),2365	,1	,9	,2	,-	,0.9	,82.8	,0.5	,1	,6.72
23,DMC,Yannick Bright ,183,78,14(9),1404	,-	,2	,4	,-	,0.1	,87	,0.8	,-	,6.68
30,D(L)/M(L),Franco Negri ,170,70,9(2),791	,-	,1	,1	,-	,0.2	,82.5	,0.5	,-	,6.67
30,M(CLR),Robert Taylor ,182,78,22(6),1666	,5	,3	,2	,-	,0.9	,81.5	,0.2	,1	,6.66
22,D(CR),Ian Fray ,183,72,7(7),654	,2	,-	,4	,-	,0.4	,84.7	,0.5	,2	,6.60
20,AM(CR),Benjamín Cremaschi ,180,72,13(10),1204	,4	,1	,3	,-	,0.8	,88	,0.3	,1	,6.59
21,D(C)/DMC,Tomás Avilés ,186,72,27(1),2286	,-	,-	,11	,2	,0.3	,91.1	,0.5	,-	,6.51
24,FW,Leonardo Campana ,185,74,14(15),1310	,8	,2	,5	,-	,1.2	,76.5	,0.8	,1	,6.48
34,D(C),Sergii Kryvtsov ,186,83,16(7),1391	,1	,-	,4	,-	,0.1	,92.4	,0.9	,-	,6.42
23,Midfielder,Lawson Sunderland ,190,80,3(2),193	,-	,1	,-	,-	,0.2	,87.4	,0.6	,-	,6.36
21,DMC,David Ruíz ,181,73,11(17),1076	,1	,2	,1	,1	,0.4	,88.4	,0.2	,-	,6.36
23,Forward,Leo Afonso ,180,72,1(10),239	,2	,-	,-	,-	,0.5	,69.2	,0.4	,-	,6.33
21,D(CL),Noah Allen ,175,66,8(10),921	,-	,-	,5	,-	,0.1	,87.8	,0.3	,-	,6.31
24,Midfielder,Pep Casas ,178,62,0(2),29	,-	,-	,-	,-	,-	,79.3	,-	,-	,6.19
26,D(C),Ryan Sailor ,193,82,2(7),310	,-	,-	,1	,-	,0.2	,86.2	,0.8	,-	,6.17
23,Forward,Shanyder Borgelin ,193,84,1(5),134	,-	,-	,-	,-	,0.5	,59.3	,0.8	,-	,6.10
31,D(L)/M(CLR),Jean Mota ,172,68,0(2),24	,-	,-	,-	,-	,-	,83.3	,-	,-	,6.08
24,GK,CJ dos Santos ,194,86,1,90	,-	,-	,-	,-	,-	,91.2	,1	,-	,5.58
