Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
23,AM(R),Gabriel Pereira ,175,0,18(4),1544	,6	,3	,2	,-	,2.2	,77.4	,0.4	,3	,7.08
38,M(CLR)/FW,Maxi Moralez ,160,52,4,316	,-	,-	,-	,-	,1.8	,84.5	,1.3	,-	,7.00
25,AM(CLR)/FW,Santiago Rodríguez ,172,62,28(3),2582	,5	,5	,9	,-	,1.5	,83.2	,0.2	,2	,6.99
27,DMC,Keaton Parks ,191,81,30(2),2514	,2	,2	,5	,-	,1.3	,88.1	,1.1	,-	,6.80
35,D(C),Maxime Chanot ,185,78,19,1710	,1	,-	,5	,-	,0.8	,87.9	,1.9	,1	,6.71
22,AM(CL)/FW,Talles Magno ,185,70,20(10),1911	,4	,2	,1	,-	,1.7	,82.5	,0.8	,1	,6.70
27,D(CL),Birk Risa ,188,79,10,862	,-	,1	,1	,-	,0.3	,85.6	,2.4	,1	,6.70
24,D(C)/DMC,James Sands ,186,84,24(2),2168	,-	,-	,4	,-	,0.3	,89.1	,1.2	,-	,6.69
26,GK,Matt Freese ,190,88,10,900	,-	,-	,-	,-	,-	,71	,0.1	,-	,6.69
24,M(C),Andrés Perea ,182,72,8(2),774	,1	,-	,5	,-	,1.9	,83.8	,1.2	,-	,6.68
30,D(C),Thiago Martins ,185,78,24(2),2185	,-	,-	,1	,-	,0.3	,90	,2.4	,1	,6.64
28,D(L)/DMC/M(L),Braian Cufré ,179,82,22(3),1872	,2	,3	,6	,1	,1	,80.2	,0.2	,1	,6.63
23,D(C)/DMC,Justin Haak ,183,75,10(4),909	,1	,-	,3	,-	,0.1	,89.6	,1.6	,-	,6.57
21,AM(R),Julián Fernández ,183,74,2(7),320	,2	,-	,1	,-	,1.7	,77.4	,0.3	,1	,6.56
22,D(CR),Tayvon Gray ,180,74,24(4),2049	,-	,1	,4	,-	,0.2	,84.6	,1.1	,-	,6.56
28,GK,Luis Barraza ,188,88,24,2160	,-	,-	,3	,-	,-	,79.6	,0.2	,-	,6.53
24,FW,Mounsef Bakrar ,183,80,10,763	,3	,-	,-	,-	,2.8	,59.8	,1.7	,-	,6.50
24,D(R)/M(C)/FW,Richard Ledezma ,173,70,14(9),1187	,-	,4	,3	,-	,0.9	,87.6	,0.3	,-	,6.47
20,D(R)/M(R),Mitja Ilenic ,178,71,13(9),1193	,-	,2	,5	,-	,0.3	,79.7	,0.4	,-	,6.43
25,AM(CLR),Matías Pellegrini ,180,72,14(10),1153	,1	,1	,9	,-	,0.7	,80.3	,0.5	,-	,6.43
26,D(L)/M(L),Kevin O'Toole ,178,68,12(9),1193	,-	,-	,3	,-	,0.3	,84.7	,0.3	,-	,6.42
27,M(R),Stephen Turnbull ,183,79,5(6),482	,-	,-	,1	,-	,0.1	,78.5	,0.5	,-	,6.42
23,M(R),Andres Jasson ,175,70,9(12),808	,3	,1	,3	,-	,0.8	,78.9	,0.1	,2	,6.42
24,FW,Gabriel Segal ,178,72,4(6),417	,2	,-	,-	,-	,1.4	,74	,0.4	,-	,6.39
35,D(C)/M(C),Alfredo Morales ,183,77,11(11),1158	,-	,1	,3	,-	,0.5	,87.5	,0.9	,-	,6.39
24,AM(LR),Thiago Andrade ,180,68,1(3),134	,1	,-	,1	,-	,0.3	,87.5	,0.3	,-	,6.38
23,Defender,Nico Benalcázar ,184,82,0(1),10	,-	,-	,-	,-	,-	,100	,-	,-	,6.20
31,D(C),Tony Alfaro ,187,82,4(2),376	,-	,-	,2	,-	,0.2	,81.7	,0.5	,-	,6.10
26,FW,Alonso Martínez ,173,72,0(3),30	,-	,-	,-	,-	,0.7	,90.9	,-	,-	,6.02
