Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
28,D(L)/M(L),Kai Wagner ,183,80,29,2534	,1	,8	,7	,-	,0.4	,75.5	,0.9	,4	,7.32
25,FW,Julián Carranza ,176,66,30(3),2647	,14	,5	,6	,2	,2.8	,72	,1.6	,7	,7.04
32,D(C),Damion Lowe ,190,79,17(3),1502	,2	,-	,7	,-	,0.6	,73.2	,2.1	,-	,6.97
29,AM(CR)/FW,Dániel Gazdag ,178,76,33(2),3008	,15	,6	,5	,-	,2	,79	,0.2	,1	,6.90
24,D(CLR)/M(R),Nathan Harriel ,180,68,21(7),1939	,2	,-	,5	,-	,0.6	,77.1	,1.6	,-	,6.83
30,FW,Mikael Uhre ,188,89,29(7),2397	,10	,4	,3	,-	,1.9	,65.8	,1.1	,2	,6.83
30,DMC,José Martínez ,178,72,24(3),2064	,3	,1	,12	,-	,1.1	,79.8	,0.8	,1	,6.82
31,D(C),Jakob Glesnes ,188,84,31,2790	,2	,-	,6	,-	,0.7	,80.1	,1.7	,2	,6.77
34,GK,Andre Blake ,188,78,30,2643	,-	,-	,1	,-	,-	,65.4	,0.2	,1	,6.74
29,D(C)/DMC,Jack Elliott ,198,83,34(1),3061	,-	,1	,5	,1	,0.9	,82	,1.7	,2	,6.72
38,M(CR)/FW,Alejandro Bedoya ,182,73,28(3),2292	,-	,4	,6	,-	,0.9	,73.3	,2.1	,-	,6.64
21,M(CR),Jack McGlynn ,180,73,18(12),1867	,2	,2	,1	,-	,1.2	,85.7	,0.2	,1	,6.64
24,DMC/M(L),Leon Flach ,178,75,21(6),1822	,1	,1	,5	,-	,0.3	,78.8	,0.4	,-	,6.48
28,AM(CR)/FW,Joaquín Torres ,177,67,3(11),368	,1	,1	,3	,-	,1	,69.5	,0.1	,-	,6.40
27,D(R)/M(R),Olivier Mbaizo ,180,70,23(3),2021	,-	,1	,4	,-	,0.4	,79.8	,0.7	,-	,6.39
25,D(L),Matt Real ,183,73,5(8),494	,-	,1	,1	,-	,0.2	,76.2	,0.5	,-	,6.38
26,DMC,Jesús Bueno ,179,74,10(16),978	,-	,-	,2	,2	,0.5	,83.1	,0.3	,-	,6.36
24,M(C),Andrés Perea ,182,72,1(7),146	,1	,-	,-	,-	,1.1	,77.4	,0.5	,1	,6.32
21,AM(CLR)/FW,Quinn Sullivan ,180,69,8(17),792	,2	,-	,3	,-	,0.7	,84.5	,0.1	,-	,6.29
24,FW,Chris Donovan ,183,74,4(17),423	,2	,1	,1	,-	,0.4	,65.5	,1.4	,-	,6.25
36,GK,Joe Bendik ,191,94,7(1),687	,-	,-	,-	,-	,-	,58.2	,0.1	,-	,6.14
27,FW,Tai Baribo ,181,78,1(4),152	,-	,-	,2	,-	,0.4	,74.3	,1	,-	,6.04
25,Midfielder,Jeremy Rafanello ,183,75,0(1),12	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
