Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
25,FW,Julián Carranza ,176,66,11(1),1073	,6	,-	,5	,-	,3.8	,71	,2	,1	,7.20
28,D(L)/M(L),Kai Wagner ,183,80,32(2),2907	,1	,10	,7	,-	,0.5	,79.1	,1	,2	,7.19
27,FW,Tai Baribo ,181,78,16(4),1412	,9	,2	,2	,-	,2.5	,78.9	,1.6	,2	,7.03
29,AM(CR)/FW,Dániel Gazdag ,178,76,28(2),2502	,17	,2	,6	,-	,1.7	,81.3	,0.2	,2	,7.01
21,M(CR),Jack McGlynn ,180,73,25(5),2312	,4	,5	,3	,-	,1.7	,86.4	,0.4	,3	,7.00
24,D(CLR)/M(R),Nathan Harriel ,180,68,27(2),2377	,2	,3	,4	,-	,1.2	,82.9	,2	,-	,6.94
30,FW,Mikael Uhre ,188,89,25(5),2016	,10	,5	,5	,-	,1.7	,64.5	,1.7	,2	,6.88
32,D(C),Damion Lowe ,190,79,12,967	,-	,-	,5	,-	,1	,77.9	,3	,-	,6.83
31,D(C),Jakob Glesnes ,188,84,31(1),2805	,2	,2	,3	,-	,0.8	,81.6	,1.7	,-	,6.82
21,AM(CLR)/FW,Quinn Sullivan ,180,69,25(9),2404	,5	,8	,4	,-	,2.3	,77.4	,0.4	,2	,6.78
34,GK,Andre Blake ,188,78,14,1117	,-	,-	,1	,-	,-	,69.7	,0.3	,1	,6.75
19,GK,Andrew Rick ,0,0,6,540	,-	,-	,-	,-	,-	,51.4	,0.3	,-	,6.67
29,D(C)/DMC,Jack Elliott ,198,83,27(1),2394	,-	,2	,7	,1	,0.7	,82.5	,1.7	,2	,6.67
24,DMC/M(L),Leon Flach ,178,75,22(1),1832	,-	,3	,2	,-	,0.3	,86	,0.5	,-	,6.67
30,DMC,José Martínez ,178,72,13(3),1020	,-	,1	,4	,-	,0.9	,80.2	,1.1	,-	,6.63
38,M(CR)/FW,Alejandro Bedoya ,182,73,13(17),1450	,2	,2	,5	,-	,0.7	,75.5	,1.8	,2	,6.60
27,GK,Oliver Semmle ,193,91,14(3),1404	,-	,-	,1	,-	,-	,62.9	,0.1	,-	,6.51
26,DMC,Jesús Bueno ,179,74,7(7),624	,3	,-	,-	,-	,0.9	,82.1	,0.4	,-	,6.49
25,DMC,Danley Jean Jacques ,182,72,4(4),445	,-	,-	,-	,-	,0.5	,82.5	,0.9	,-	,6.44
27,D(R)/M(R),Olivier Mbaizo ,180,70,12(9),1107	,-	,1	,-	,-	,0.2	,79.7	,0.6	,-	,6.41
24,FW,Chris Donovan ,183,74,4(14),370	,1	,-	,-	,-	,0.5	,60.3	,1.6	,-	,6.29
26,FW,Samuel Adeniran ,196,91,0(7),130	,-	,-	,-	,-	,1.4	,67.7	,0.6	,-	,6.27
21,Forward,Markus Anderson ,178,77,2(2),99	,-	,-	,-	,-	,0.5	,41.7	,0.5	,-	,6.26
25,Midfielder,Jeremy Rafanello ,183,75,4(7),318	,-	,-	,-	,-	,0.5	,76.1	,0.5	,-	,6.18
15,Midfielder,Cavan Sullivan ,170,68,0(3),9	,-	,-	,-	,-	,0.7	,100	,-	,-	,6.12
18,Midfielder,CJ Olney ,0,0,0(1),18	,-	,-	,-	,-	,-	,87.5	,-	,-	,6.05
