Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
26,M(C),Evander ,179,76,25(2),2216	,9	,4	,5	,-	,2.7	,82.8	,0.1	,2	,7.10
27,D(C),Zac McGraw ,193,93,27(1),2424	,1	,1	,8	,-	,0.8	,80.2	,3.2	,-	,6.94
25,AM(CLR),Santiago Moreno ,178,67,29(2),2352	,3	,6	,4	,-	,1.4	,76.8	,0.8	,2	,6.94
27,M(C),Eryk Williamson ,175,77,6,530	,-	,1	,2	,-	,0.2	,76.1	,0.5	,-	,6.76
33,M(LR)/FW,Dairon Asprilla ,180,75,16(10),1450	,5	,5	,5	,-	,1.3	,72	,1.9	,1	,6.76
27,DMC,Cristhian Paredes ,183,70,22(6),1913	,2	,1	,5	,-	,0.9	,76.1	,0.8	,2	,6.67
28,D(L)/M(L),Claudio Bravo ,179,68,27(2),2336	,2	,1	,8	,-	,0.8	,75.4	,0.6	,1	,6.65
31,FW,Felipe Mora ,175,68,8(7),817	,6	,1	,1	,-	,1.7	,78.9	,0.9	,1	,6.64
35,GK,David Bingham ,188,84,19,1710	,-	,-	,2	,-	,-	,63.9	,0.2	,-	,6.64
22,D(R)/M(R),Juan Mosquera ,180,72,27(2),2413	,2	,4	,1	,-	,0.9	,81.9	,0.6	,1	,6.62
31,GK,Aljaz Ivacic ,188,82,15,1350	,-	,-	,-	,-	,-	,48.2	,0.4	,-	,6.61
33,D(C),Dario Zuparic ,188,84,31,2790	,1	,1	,10	,-	,0.3	,80	,2.3	,1	,6.57
39,DMC,Diego Chará ,170,68,28(1),2565	,-	,-	,8	,-	,0.1	,87.6	,0.6	,-	,6.54
31,M(C),Bryan Acosta ,175,80,5(2),458	,-	,1	,1	,-	,0.3	,88.7	,1.1	,-	,6.52
31,FW,Franck Boli ,180,77,18(11),1466	,7	,1	,5	,-	,1.8	,70.8	,0.4	,-	,6.48
34,M(CLR)/FW,Yimmi Chará ,168,77,9(8),744	,1	,3	,-	,-	,0.5	,81.1	,0.1	,-	,6.45
22,DMC,David Ayala ,175,62,3(1),162	,-	,-	,1	,-	,1	,74.4	,0.3	,-	,6.41
23,M(LR),Antony ,185,75,3(6),252	,1	,-	,1	,-	,0.4	,83.3	,0.7	,-	,6.40
21,Forward,Tega Ikoba ,191,90,1(3),84	,1	,-	,-	,-	,0.8	,55.6	,1.3	,-	,6.39
24,AM(C),Víctor Griffith ,174,75,1,90	,-	,-	,1	,-	,-	,84.8	,1	,-	,6.35
25,D(LR),Pablo Bonilla ,173,70,1(1),75	,-	,-	,1	,-	,-	,57.1	,-	,-	,6.33
32,D(CLR)/M(R),Eric Miller ,185,79,12(9),1204	,-	,-	,1	,-	,0.1	,79	,0.7	,-	,6.31
28,AM(LR),Marvin Loría ,178,77,9(8),759	,-	,1	,3	,-	,0.8	,78.5	,0.2	,-	,6.30
24,Midfielder,Noel Caliskan ,180,66,2(2),264	,-	,1	,1	,-	,0.8	,86.8	,0.3	,-	,6.29
26,D(L),Justin Rasmussen ,183,79,4(2),332	,-	,-	,-	,-	,0.2	,67.2	,0.2	,-	,6.29
25,FW,Nathan Fogaça ,178,73,5(11),558	,1	,2	,2	,-	,0.9	,72.1	,1.3	,-	,6.23
37,D(C),Larrys Mabiala ,189,84,9(12),877	,1	,-	,3	,-	,0.3	,84.3	,0.9	,-	,6.17
37,AM(CLR),Sebastián Blanco ,170,68,2(15),429	,1	,1	,2	,-	,0.4	,77.4	,0.1	,-	,6.16
26,Forward,Diego Gutiérrez ,180,72,3(6),244	,-	,1	,-	,-	,0.1	,70	,-	,-	,6.15
30,FW,Jaroslaw Niezgoda ,185,77,5(15),635	,1	,-	,-	,-	,0.4	,67.6	,0.9	,-	,6.14
30,D(C),Miguel Araujo ,181,75,2(1),173	,-	,-	,1	,-	,0.3	,89.1	,1	,-	,6.01
