Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
22,AM(R),Andrés Gómez ,171,61,22(1),1817	,13	,7	,6	,-	,3	,78	,0.2	,6	,7.50
30,AM(C)/FW,Cristian Arango ,178,70,26(5),2342	,17	,6	,7	,-	,3.8	,72.8	,1	,6	,7.26
21,AM(CL),Diego Luna ,173,85,27(5),2340	,8	,8	,6	,-	,1.8	,84.4	,0.3	,3	,7.03
20,GK,Gavin Beavers ,193,83,11,990	,-	,1	,-	,-	,-	,71.8	,0.1	,-	,6.85
24,DMC,Braian Ojeda ,172,68,32(2),2756	,2	,4	,4	,1	,1	,90	,1	,1	,6.84
28,D(CR),Justen Glad ,183,66,26(1),2372	,-	,-	,4	,-	,0.6	,91.3	,1.9	,1	,6.77
25,D(R)/DMC,Emeka Eneli ,175,0,32(2),2793	,2	,1	,6	,-	,0.4	,89.9	,0.6	,-	,6.75
36,D(C),Marcelo Silva ,185,91,2(1),181	,-	,-	,-	,-	,0.7	,80.8	,2	,-	,6.70
26,D(CR)/M(LR),Javain Brown ,180,79,5(2),454	,-	,-	,1	,-	,0.1	,83.8	,1.6	,-	,6.65
27,D(L),Alexandros Katranis ,175,74,24(6),2124	,3	,3	,9	,-	,0.7	,79	,0.6	,-	,6.64
21,AM(R),Dominik Marczuk ,180,74,6(3),536	,1	,1	,-	,-	,0.8	,77.8	,0.2	,-	,6.63
29,AM(LR)/FW,Anderson Julio ,180,70,14(20),1460	,9	,3	,1	,-	,1.6	,75.9	,0.5	,1	,6.63
26,D(CL),Brayan Vera ,180,77,25,2171	,2	,2	,9	,1	,1	,83.7	,0.8	,-	,6.62
31,M(C)/FW,Matt Crooks ,191,72,24(6),2019	,3	,4	,8	,-	,0.8	,84.1	,1	,1	,6.60
23,D(CR),Bode Hidalgo ,183,77,15(10),1453	,-	,1	,2	,-	,0.4	,85.1	,0.6	,-	,6.59
25,D(CR),Philip Quinton ,198,93,15(4),1229	,1	,-	,-	,-	,0.4	,88.1	,1	,1	,6.58
33,GK,Zac MacMath ,188,80,24,2191	,-	,-	,3	,-	,-	,76.5	,0.4	,-	,6.53
30,D(LR)/M(R),Andrew Brody ,178,66,23(10),2107	,-	,1	,-	,-	,0.2	,86.5	,0.7	,-	,6.51
28,D(R)/M(CLR),Diogo Gonçalves ,178,70,6(4),611	,2	,-	,-	,-	,1.6	,79.4	,0.2	,-	,6.45
26,M(C),Pablo Ruiz ,172,80,2(1),170	,-	,-	,1	,-	,2.7	,71.7	,-	,-	,6.40
35,D(LR)/M(L),Bryan Oviedo ,172,60,6(9),632	,-	,2	,2	,-	,0.2	,89.6	,0.3	,-	,6.39
24,AM(R),Lachlan Brook ,178,69,3(4),233	,-	,-	,1	,-	,1.9	,79.2	,0.3	,-	,6.38
23,DMC,Nelson Palacio ,180,80,5(19),766	,1	,1	,2	,-	,0.3	,89.8	,0.5	,-	,6.36
22,Forward,Matthew Bell ,183,0,0(1),19	,-	,-	,-	,-	,-	,91.7	,-	,-	,6.31
24,Midfielder,Noel Caliskan ,180,66,2(4),233	,-	,-	,-	,-	,0.2	,86.3	,0.3	,-	,6.23
19,AM(L),Fidel Barajas ,178,70,5(12),561	,-	,2	,1	,-	,0.9	,89.2	,-	,1	,6.23
23,Defender,Tommy Silva ,180,74,0(1),18	,-	,-	,-	,-	,-	,60	,-	,-	,6.21
34,AM(LR),Maikel Chang ,177,75,3(20),395	,-	,2	,2	,-	,0.2	,78.5	,0.1	,-	,6.15
27,AM(LR)/FW,Benji Michel ,178,78,0(2),32	,-	,-	,-	,-	,-	,81.8	,0.5	,-	,6.12
18,AM(R),Zavier Gozo ,170,63,0(1),11	,-	,-	,-	,-	,-	,100	,-	,-	,5.96
