Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
30,M(CLR),Cristian Espinoza ,175,73,34,2979	,4	,12	,5	,-	,1.9	,77.1	,0.2	,3	,7.12
24,AM(CR),Hernán López ,169,67,22(2),1831	,6	,2	,4	,-	,1.8	,72.7	,0.2	,2	,6.87
31,GK,Daniel ,188,93,12,1080	,-	,-	,1	,-	,-	,77.3	,0.4	,-	,6.72
27,D(C),Rodrigues ,188,76,31,2760	,3	,1	,4	,-	,0.8	,85.6	,1.9	,1	,6.71
30,D(L)/M(L),Vítor Costa ,182,73,22(7),2105	,2	,3	,7	,-	,0.7	,78.1	,1.2	,1	,6.69
32,D(LR)/M(R),Carlos Akapo ,179,70,20(1),1607	,-	,1	,7	,-	,0.5	,81.2	,1.9	,-	,6.69
28,D(C),Bruno Wilson ,192,78,12(1),1041	,1	,2	,4	,1	,0.3	,85.1	,1.5	,-	,6.60
25,D(R)/M(L)/FW,Benjamin Kikanovic ,183,75,13(11),1255	,3	,-	,3	,-	,0.9	,74	,1.8	,-	,6.60
28,AM(LR)/FW,Jeremy Ebobisse ,183,82,25(6),1952	,6	,1	,-	,-	,1.5	,79.2	,1	,1	,6.52
19,D(L),Oscar Verhoeven ,183,0,5(1),404	,-	,-	,1	,-	,-	,80.2	,1.2	,-	,6.52
30,D(LR)/M(L),Paul Marie ,170,69,16(14),1536	,3	,1	,4	,-	,0.3	,79.5	,0.2	,-	,6.46
34,AM(L),Amahl Pellegrino ,190,68,22(10),1740	,7	,2	,-	,-	,1.3	,74.4	,0.2	,-	,6.42
30,DMC,Carlos Gruezo ,173,67,23(1),1978	,-	,-	,9	,-	,0.8	,86.4	,0.5	,-	,6.38
28,D(CL),Tanner Beason ,185,80,17(9),1622	,-	,-	,1	,-	,0.2	,83.9	,1.3	,-	,6.35
28,D(C)/M(C),Jackson Yueill ,175,76,28(4),2462	,1	,1	,2	,1	,0.6	,89.4	,0.3	,-	,6.32
36,GK,William Yarbrough ,187,73,19,1710	,-	,-	,1	,-	,-	,71.9	,0.4	,-	,6.25
25,DMC,Michael Baldisimo ,168,75,0(2),23	,-	,-	,-	,-	,-	,100	,-	,-	,6.23
19,M(C),Niko Tsakiris ,178,70,19(6),1479	,-	,1	,1	,-	,0.4	,84.5	,0.2	,-	,6.23
23,Defender,Jamar Ricketts ,175,0,0(1),34	,-	,-	,-	,-	,-	,-	,-	,-	,6.22
25,D(C),Daniel Munie ,183,82,12(5),1110	,-	,-	,-	,-	,0.4	,82	,1.4	,-	,6.19
25,Forward,Ousseni Bouda ,175,78,3(9),369	,1	,-	,1	,-	,0.8	,81.5	,0.5	,-	,6.17
35,D(C)/M(C),Alfredo Morales ,183,77,4(19),636	,-	,-	,3	,-	,0.3	,82.9	,0.4	,-	,6.16
27,AM(C),Jack Skahan ,178,78,6(23),845	,1	,1	,6	,-	,0.7	,77.7	,0.3	,-	,6.14
29,D(LR)/M(CLR),Tommy Thompson ,170,72,0(10),83	,-	,-	,1	,-	,0.2	,94.7	,0.1	,-	,6.09
25,Forward,Will Richmond ,173,77,0(1),1	,-	,-	,-	,-	,1	,-	,1	,-	,6.03
26,FW,Preston Judd ,191,95,6(20),709	,1	,-	,4	,1	,0.7	,65.8	,0.5	,-	,6.00
25,GK,Jacob Jackson ,180,86,3,270	,-	,-	,-	,-	,-	,70.2	,-	,-	,5.77
