Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
30,M(CLR)/FW,Albert Rusnák ,175,61,30(4),2717	,10	,12	,2	,-	,1.7	,88	,0.2	,3	,7.16
30,AM(LR)/FW,Jordan Morris ,183,84,34(2),3011	,14	,4	,4	,-	,1.9	,76.7	,1.9	,3	,7.07
30,D(R)/M(CR),Cristian Roldan ,173,75,35(1),3177	,2	,1	,3	,-	,0.9	,84.4	,1.3	,2	,6.95
32,D(C),Yeimar Gómez ,187,92,29(3),2654	,1	,-	,6	,-	,0.6	,86.2	,2.4	,2	,6.94
19,M(CR),Obed Vargas ,175,68,31(2),2874	,1	,4	,3	,1	,0.8	,84.9	,0.5	,2	,6.88
26,GK,Andrew Thomas ,188,82,5(2),591	,-	,-	,-	,-	,-	,55.7	,0.1	,1	,6.84
26,D(C),Jackson Ragen ,198,93,36,3236	,3	,1	,6	,1	,0.5	,90.3	,2	,-	,6.79
28,D(R)/M(LR),Alex Roldan ,177,70,30(2),2603	,1	,-	,1	,1	,0.6	,85.4	,1	,-	,6.73
27,D(CL),Nouhou Tolo ,178,79,28(1),2423	,-	,1	,10	,1	,0.5	,85.9	,0.9	,-	,6.72
39,GK,Stefan Frei ,191,89,32,2797	,-	,-	,-	,1	,-	,70.1	,0.3	,-	,6.71
34,M(C),João Paulo ,170,71,17(7),1382	,-	,1	,3	,-	,0.9	,88	,0.5	,1	,6.71
34,FW,Raúl Ruidíaz ,169,65,15(12),1503	,8	,-	,3	,-	,3	,85.7	,0.6	,1	,6.70
26,M(LR),Paul Rothrock ,173,74,14(12),1388	,5	,2	,3	,-	,1.3	,74.8	,0.4	,2	,6.65
22,AM(R),Georgi Minoungou ,178,70,4(9),555	,1	,1	,-	,-	,0.8	,79.9	,0.4	,-	,6.63
27,D(C),Jon Bell ,180,75,6(5),604	,1	,-	,-	,-	,0.5	,84.4	,1.5	,1	,6.57
25,AM(L),Léo Chú ,178,69,12(3),727	,1	,2	,-	,-	,0.6	,77.3	,0.3	,-	,6.53
23,DMC,Josh Atencio ,185,79,12(12),1091	,-	,1	,1	,1	,1.1	,81.4	,1	,1	,6.53
24,AM(LR),Pedro de la Vega ,177,74,12(7),900	,1	,1	,2	,-	,0.9	,80.1	,0.3	,-	,6.47
30,D(C),Nathan ,190,83,2(4),233	,-	,-	,-	,-	,-	,91.5	,0.5	,-	,6.42
30,D(C),Xavier Arreaga ,184,75,3(3),259	,-	,-	,1	,-	,0.2	,88.3	,0.3	,-	,6.41
21,D(LR),Cody Baker ,178,70,4(9),474	,-	,1	,1	,-	,0.1	,79.3	,0.3	,-	,6.38
20,D(L)/M(L),Reed Baker-Whiting ,180,70,7(17),903	,-	,-	,2	,1	,0.2	,83.2	,0.5	,-	,6.34
29,AM(L)/FW,Danny Musovski ,183,77,4(20),506	,1	,1	,1	,-	,0.5	,73.6	,0.7	,-	,6.26
22,DMC,Danny Leyva ,178,68,2(11),281	,-	,-	,1	,-	,0.6	,83.5	,0.4	,-	,6.26
25,AM(R),Dylan Teves ,173,63,1(5),82	,1	,-	,1	,-	,0.2	,82.4	,0.2	,-	,6.24
22,Midfielder,Kalani Kossa-Rienzi ,173,68,0(1),12	,-	,-	,1	,-	,-	,50	,1	,-	,6.00
22,Midfielder,Sota Kitahara ,175,66,2,148	,-	,-	,-	,-	,-	,77.6	,-	,-	,5.94
23,Defender,Antino Lopez ,183,68,0(1),6	,-	,-	,-	,-	,-	,60	,-	,-	,5.92
