Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
33,AM(CL)/FW,Lorenzo Insigne ,163,59,18(2),1525	,4	,4	,2	,-	,3.3	,82.5	,0.1	,2	,7.04
30,D(CLR)/M(LR),Richie Laryea ,175,68,18,1611	,2	,3	,4	,-	,0.7	,83	,0.4	,-	,7.00
30,M(C),Mark-Anthony Kaye ,185,77,21,1843	,2	,-	,4	,-	,0.5	,85.8	,1.3	,1	,6.87
31,M(CLR)/FW,Federico Bernardeschi ,185,77,31,2612	,5	,2	,5	,1	,2.6	,78.5	,0.1	,1	,6.72
32,M(CLR)/FW,Jonathan Osorio ,175,69,21,1879	,4	,4	,1	,-	,0.6	,88.4	,0.2	,1	,6.69
25,GK,Luka Gavran ,198,91,4,360	,-	,-	,-	,-	,-	,52.5	,-	,-	,6.69
35,D(C),Matt Hedges ,194,94,13(1),1070	,-	,-	,3	,-	,0.2	,82.3	,1.3	,-	,6.67
26,D(C),Aimé Mabika ,198,97,17(4),1516	,-	,-	,2	,-	,0.3	,89.1	,2	,-	,6.59
25,DMC,Alonso Coello ,185,82,13(8),1289	,-	,-	,2	,-	,0.3	,88.1	,0.4	,-	,6.56
22,D(LR)/M(R),Kobe Franklin ,168,69,23(4),2173	,-	,1	,2	,-	,0.4	,83.4	,0.6	,1	,6.56
36,GK,Sean Johnson ,191,98,20,1800	,-	,-	,1	,-	,-	,67.3	,0.2	,-	,6.51
22,AM(CR)/FW,Deandre Kerr ,180,81,16(7),1225	,5	,1	,-	,-	,0.9	,77.8	,0.9	,1	,6.50
30,D(C),Sigurd Rosted ,188,80,18(3),1645	,-	,-	,2	,-	,0.2	,84	,1.6	,-	,6.48
28,D(CL)/M(L),Raoul Petretta ,175,70,22(2),1749	,-	,1	,5	,1	,0.3	,85.4	,0.8	,1	,6.48
26,M(C),Brandon Servania ,178,73,21(7),1708	,1	,1	,3	,-	,0.6	,84.8	,0.4	,1	,6.47
36,AM(LR)/FW,C.J. Sapong ,185,84,15(5),1274	,1	,-	,-	,-	,1.2	,67.5	,2.4	,-	,6.41
24,GK,Tomás Romero ,188,86,6,540	,-	,-	,1	,-	,-	,73.4	,0.2	,-	,6.41
37,D(C)/M(C),Michael Bradley ,185,87,17,1446	,1	,1	,2	,-	,0.4	,89.8	,0.1	,-	,6.41
24,DMC,Franco Ibarra ,175,69,5(2),442	,-	,-	,1	,-	,0.4	,84.4	,0.4	,-	,6.36
31,D(CR),Shane O'Neill ,188,87,10(4),939	,-	,-	,2	,-	,0.2	,87.2	,1.6	,-	,6.33
22,D(R)/DMC/M(R),Kosi Thompson ,178,79,6(8),582	,1	,-	,-	,-	,0.4	,84.3	,0.4	,-	,6.33
20,D(R)/M(LR),Jahkeele Marshall-Rutty ,171,70,11(11),1148	,-	,1	,1	,1	,1	,91.2	,0.1	,-	,6.29
25,Forward,Jesús Batiz ,178,0,0(2),63	,-	,-	,-	,-	,0.5	,84.2	,0.5	,-	,6.27
31,GK,Greg Ranjitsingh ,188,91,4,360	,-	,-	,-	,-	,-	,60	,0.3	,-	,6.20
28,D(L)/M(L),Cristián Gutiérrez ,180,68,4(2),246	,-	,1	,-	,-	,0.2	,82.1	,0.2	,-	,6.18
24,Midfielder,Themi Antonoglou ,173,69,3(8),479	,-	,-	,2	,-	,0.2	,82.6	,0.1	,-	,6.14
38,AM(CL)/FW,Víctor Vázquez ,180,78,3(9),236	,-	,-	,1	,-	,0.2	,90.5	,-	,-	,6.14
18,Defender,Lazar Stefanovic ,187,75,0(2),78	,-	,-	,-	,-	,-	,89.7	,-	,-	,6.13
28,FW,Prince Owusu ,191,87,3(3),259	,-	,-	,1	,-	,0.7	,66	,1	,-	,6.11
28,D(R)/M(CLR)/FW,Latif Blessing ,170,64,1(4),151	,-	,-	,-	,-	,0.2	,84.2	,0.2	,-	,6.09
24,Forward,Jordan Perruzza ,185,81,1(4),123	,-	,-	,-	,-	,0.8	,71.4	,0.2	,-	,6.08
25,FW,Ayo Akinola ,178,81,4(10),556	,-	,-	,-	,-	,0.8	,85.4	,0.4	,-	,6.07
20,Forward,Hugo Mbongue ,180,85,1(10),254	,-	,-	,1	,-	,0.1	,65.6	,1.2	,-	,6.07
35,AM(L)/FW,Adama Diomande ,180,82,2(3),167	,-	,-	,-	,-	,0.2	,72.7	,0.6	,-	,6.06
23,Forward,Cassius Mailula ,173,66,0(3),68	,-	,-	,-	,-	,1	,86.7	,-	,-	,6.03
24,Defender,Antony Curic ,191,79,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
30,D(C),Lukas MacNaughton ,185,86,2(1),181	,-	,-	,-	,-	,-	,92.7	,0.7	,-	,5.97
24,Midfielder,Jordan Faria ,170,73,0(1),23	,-	,-	,-	,-	,-	,66.7	,-	,-	,5.89
20,Defender,Adam Pearlman ,183,0,0(1),6	,-	,-	,-	,-	,-	,60	,1	,-	,5.86
