Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
29,AM(CLR)/FW,Ryan Gauld ,169,68,30(2),2618	,13	,12	,4	,-	,1.8	,81.9	,0.6	,9	,7.53
29,AM(C)/FW,Brian White ,180,84,30(2),2614	,16	,2	,5	,-	,2.3	,68.9	,2.7	,2	,7.01
34,AM(LR)/FW,Fafá Picault ,173,63,20(11),1836	,9	,6	,6	,1	,1.5	,81.5	,1	,3	,6.84
33,M(CLR),Stuart Armstrong ,183,75,3(5),263	,2	,2	,1	,-	,0.8	,85.9	,0.4	,-	,6.82
29,DMC,Andrés Cubas ,163,60,25(1),2110	,-	,1	,7	,-	,0.3	,90.1	,0.3	,1	,6.70
24,M(CLR),Ali Ahmed ,180,70,15(8),1375	,1	,-	,3	,-	,0.7	,84.9	,0.1	,1	,6.69
26,D(C),Ranko Veselinovic ,188,77,33(1),2946	,2	,1	,4	,-	,0.4	,92	,1.7	,-	,6.68
24,DMC/M(R),Sebastian Berhalter ,175,70,19(14),1935	,2	,3	,5	,-	,1	,82.3	,0.6	,1	,6.67
25,D(CR),Mathías Laborda ,183,72,24(4),2055	,2	,1	,3	,-	,0.8	,87	,2	,-	,6.67
26,D(L)/M(LR),Ryan Raposo ,170,63,18(13),1619	,3	,4	,4	,-	,0.5	,82.7	,0.3	,-	,6.66
23,AM(CLR),Pedro Vite ,168,68,25(5),2198	,1	,1	,3	,-	,0.9	,87.4	,0.3	,1	,6.60
30,D(L)/M(L),Sam Adekugbe ,175,75,10(8),933	,1	,2	,4	,-	,0.6	,88.5	,1	,-	,6.53
26,D(CR)/M(LR),Javain Brown ,180,79,11(5),967	,-	,1	,1	,-	,0.6	,84.9	,1.5	,-	,6.53
29,GK,Yohei Takaoka ,183,80,35,3150	,-	,-	,3	,-	,-	,69.9	,0.3	,-	,6.51
28,D(CR),Tristan Blackmon ,189,88,23(4),2064	,-	,-	,4	,-	,0.4	,89.4	,1.6	,-	,6.50
31,M(CLR),Alessandro Schöpf ,178,74,23(9),1994	,1	,1	,4	,1	,1	,90.7	,0.4	,1	,6.49
29,D(C),Bjørn Utvik ,183,75,19(4),1709	,-	,-	,1	,1	,0.5	,88.8	,1.7	,-	,6.49
32,D(CL)/M(L),Luís Martins ,177,67,9(7),776	,-	,1	,1	,-	,0.3	,83.6	,0.5	,-	,6.31
21,D(R),Édier Ocampo ,175,68,1(5),172	,-	,-	,-	,-	,0.8	,87.2	,0.3	,-	,6.31
22,DMC,Ralph Priso ,175,80,5(9),478	,-	,1	,2	,-	,-	,84.6	,0.1	,-	,6.30
25,Defender,Belal Halbouni ,188,85,2(1),168	,-	,-	,-	,-	,1.3	,90.8	,-	,-	,6.27
36,M(C)/FW,Damir Kreilach ,186,79,6(12),480	,2	,-	,-	,-	,0.8	,82.8	,0.8	,-	,6.26
23,Goalkeeper,Isaac Boehmer ,188,84,1,90	,-	,-	,-	,-	,-	,44.1	,-	,-	,6.22
25,AM(CLR)/FW,Déiber Caicedo ,168,66,1(5),132	,-	,-	,-	,-	,1.3	,87.5	,0.2	,-	,6.16
20,Defender,Giuseppe Bovalina ,173,71,1(10),167	,-	,-	,-	,-	,0.7	,72.3	,0.1	,-	,6.11
26,Forward,Levonte Johnson ,178,84,7(19),689	,-	,-	,1	,-	,0.5	,80.5	,0.4	,-	,6.09
20,Forward,Cyprian Kachwele ,190,69,0(1),2	,-	,-	,-	,-	,-	,50	,1	,-	,6.08
20,Midfielder,Jay Herdman ,169,63,0(1),9	,-	,-	,-	,-	,1	,88.9	,-	,-	,6.05
23,Forward,Nicolas Fleuriau Chateau ,178,0,0(2),38	,-	,-	,1	,-	,1	,57.1	,1.5	,-	,6.04
